CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1112047"
DESCRIPTOR	"デフォルトの測定値"
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	"D65"
OBSERVER_ANGLE	"2"
FILTER	"D50"
WEIGHTING_FUNCTION	"ILLUMINANT,	D65"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2026-05-28T10:10:45"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	256
BEGIN_DATA
1	A1	   23.11	    0.09	    0.62	
2	B1	   27.78	    0.44	    1.89	
3	C1	   38.58	    1.08	    4.84	
4	D1	   50.99	    1.25	    7.00	
5	E1	   61.01	    1.16	    7.90	
6	F1	   67.70	    1.02	    8.30	
7	G1	   73.40	    0.86	    8.23	
8	H1	   77.36	    0.70	    7.94	
9	I1	   80.89	    0.48	    7.77	
10	J1	   84.99	    0.27	    7.48	
11	K1	   88.27	    0.06	    7.17	
12	L1	   91.44	   -0.15	    6.49	
13	M1	   93.60	   -0.30	    5.79	
14	N1	   94.65	   -0.46	    5.56	
15	O1	   95.30	   -0.47	    5.39	
16	P1	   95.35	   -0.51	    5.40	
17	A2	   23.05	    0.14	    0.61	
18	B2	   27.52	    0.36	    1.67	
19	C2	   37.37	    1.07	    4.46	
20	D2	   49.51	    1.26	    6.84	
21	E2	   59.82	    1.19	    7.83	
22	F2	   66.77	    1.03	    8.25	
23	G2	   72.33	    0.89	    8.20	
24	H2	   76.16	    0.75	    8.00	
25	I2	   80.05	    0.54	    7.85	
26	J2	   84.25	    0.34	    7.60	
27	K2	   88.01	    0.04	    7.09	
28	L2	   91.15	   -0.12	    6.54	
29	M2	   93.26	   -0.30	    6.03	
30	N2	   94.55	   -0.43	    5.60	
31	O2	   95.14	   -0.43	    5.42	
32	P2	   95.03	   -0.44	    5.49	
33	A3	   23.10	    0.07	    0.73	
34	B3	   27.08	    0.34	    1.45	
35	C3	   36.09	    1.02	    4.19	
36	D3	   48.69	    1.24	    6.82	
37	E3	   58.61	    1.21	    7.71	
38	F3	   65.35	    1.05	    8.19	
39	G3	   71.17	    0.93	    8.24	
40	H3	   75.49	    0.75	    8.03	
41	I3	   79.57	    0.55	    8.07	
42	J3	   83.95	    0.33	    7.64	
43	K3	   89.38	   -0.09	    6.53	
44	L3	   90.59	   -0.09	    6.60	
45	M3	   93.05	   -0.28	    5.98	
46	N3	   94.26	   -0.45	    5.73	
47	O3	   95.05	   -0.43	    5.54	
48	P3	   95.28	   -0.49	    5.45	
49	A4	   23.02	    0.07	    0.67	
50	B4	   26.50	    0.26	    1.31	
51	C4	   35.01	    0.96	    3.85	
52	D4	   46.76	    1.22	    6.35	
53	E4	   57.66	    1.23	    7.69	
54	F4	   64.68	    1.07	    8.18	
55	G4	   70.60	    0.94	    8.33	
56	H4	   74.98	    0.77	    8.11	
57	I4	   78.65	    0.58	    7.99	
58	J4	   82.88	    0.40	    7.66	
59	K4	   89.45	   -0.10	    6.60	
60	L4	   90.43	   -0.06	    6.57	
61	M4	   93.05	   -0.28	    5.97	
62	N4	   94.31	   -0.42	    5.71	
63	O4	   95.11	   -0.44	    5.44	
64	P4	   95.38	   -0.49	    5.40	
65	A5	   23.02	    0.08	    0.60	
66	B5	   26.19	    0.24	    1.12	
67	C5	   34.01	    0.91	    3.56	
