CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1112047"
DESCRIPTOR	"デフォルトの測定値"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2026-05-28T16:10:26"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	256
BEGIN_DATA
1	A1	   25.65	    0.37	    0.03	
2	B1	   32.12	    0.98	    1.63	
3	C1	   37.81	    1.38	    2.97	
4	D1	   42.84	    1.65	    4.09	
5	E1	   47.54	    1.92	    5.09	
6	F1	   53.00	    2.11	    5.75	
7	G1	   57.05	    2.14	    6.20	
8	H1	   61.42	    2.09	    6.33	
9	I1	   65.40	    2.07	    6.55	
10	J1	   70.10	    1.90	    6.57	
11	K1	   74.62	    1.75	    6.40	
12	L1	   79.26	    1.49	    6.03	
13	M1	   83.36	    1.29	    5.72	
14	N1	   87.71	    0.98	    5.08	
15	O1	   92.91	    0.47	    4.30	
16	P1	   96.74	   -0.03	    2.92	
17	A2	   25.31	    0.33	   -0.14	
18	B2	   31.75	    0.91	    1.45	
19	C2	   37.41	    1.32	    2.84	
20	D2	   42.28	    1.62	    3.96	
21	E2	   46.74	    1.81	    4.79	
22	F2	   52.29	    2.05	    5.68	
23	G2	   56.30	    2.07	    6.01	
24	H2	   60.80	    2.09	    6.34	
25	I2	   64.79	    2.05	    6.55	
26	J2	   68.86	    1.93	    6.61	
27	K2	   73.52	    1.76	    6.41	
28	L2	   78.40	    1.54	    6.09	
29	M2	   82.62	    1.33	    5.82	
30	N2	   87.48	    1.00	    5.23	
31	O2	   92.52	    0.49	    4.32	
32	P2	   96.65	    0.01	    3.06	
33	A3	   25.14	    0.36	   -0.25	
34	B3	   31.05	    0.83	    1.16	
35	C3	   36.20	    1.18	    2.34	
36	D3	   41.47	    1.51	    3.68	
37	E3	   46.31	    1.78	    4.63	
38	F3	   51.34	    2.02	    5.56	
39	G3	   55.67	    2.08	    6.05	
40	H3	   59.89	    2.09	    6.29	
41	I3	   63.70	    2.04	    6.48	
42	J3	   67.79	    1.94	    6.58	
43	K3	   72.27	    1.80	    6.48	
44	L3	   77.68	    1.55	    6.13	
45	M3	   82.22	    1.29	    5.78	
46	N3	   86.84	    1.01	    5.31	
47	O3	   92.35	    0.51	    4.44	
48	P3	   96.43	   -0.00	    3.09	
49	A4	   24.89	    0.33	   -0.15	
50	B4	   30.41	    0.76	    1.02	
51	C4	   35.83	    1.18	    2.38	
52	D4	   41.14	    1.52	    3.67	
53	E4	   45.88	    1.77	    4.57	
54	F4	   50.84	    1.99	    5.45	
55	G4	   55.34	    2.07	    5.92	
56	H4	   59.82	    2.09	    6.25	
57	I4	   63.33	    2.04	    6.48	
58	J4	   67.77	    1.92	    6.63	
59	K4	   72.31	    1.82	    6.50	
60	L4	   77.15	    1.58	    6.21	
61	M4	   82.31	    1.29	    5.79	
62	N4	   86.37	    1.01	    5.28	
63	O4	   92.13	    0.50	    4.33	
64	P4	   96.23	    0.03	    3.19	
65	A5	   24.70	    0.30	   -0.27	
66	B5	   30.20	    0.73	    0.93	
67	C5	   35.82	    1.18	    2.29	
