GRAY	Lab_L	A	B
0.00	95.095	-0.347	0.953
0.79	95.045	-0.697	1.917
1.57	95.070	-0.523	1.435
2.36	95.095	-0.347	0.953
3.15	95.045	-0.697	1.917
3.94	95.045	-0.697	1.917
4.72	95.095	-0.347	0.953
5.51	95.045	-0.697	1.917
6.30	94.397	-0.536	2.521
7.09	95.045	-0.697	1.917
7.87	92.749	-0.204	3.739
8.66	94.722	-0.708	3.001
9.45	95.021	-0.871	2.399
10.24	94.448	-0.371	3.122
11.02	94.771	-0.362	2.036
11.81	94.722	-0.708	3.001
12.60	93.049	-0.372	3.132
13.39	93.399	-0.372	3.129
14.17	93.024	-0.544	3.617
14.96	93.399	-0.372	3.129
15.75	91.997	-0.372	3.140
16.54	91.972	-0.545	3.626
17.32	91.972	-0.545	3.626
18.11	92.698	-0.372	3.135
18.90	90.389	0.310	3.393
19.69	90.541	-0.718	4.126
20.47	90.012	0.139	3.884
21.26	89.205	-0.376	4.260
22.05	89.205	-0.376	4.260
22.83	89.608	-0.032	3.278
23.62	88.876	-0.204	3.774
24.41	88.119	-0.548	4.762
25.20	86.672	-0.550	3.673
25.98	87.434	-0.377	4.279
26.77	84.942	-0.378	4.305
27.56	87.459	-0.205	3.787
28.35	88.421	-0.721	4.147
29.13	86.951	-0.894	3.549
29.92	85.911	-0.897	4.666
30.71	84.126	-0.900	4.687
31.50	82.075	-0.379	4.337
32.28	83.767	-0.901	4.692
33.07	82.434	-0.379	4.333
33.86	80.994	-0.380	4.349
34.65	80.994	-0.380	4.349
35.43	81.252	-0.905	4.722
36.22	82.100	-0.205	3.839
37.01	82.075	-0.379	4.337
37.80	79.628	-0.027	4.490
38.58	76.617	-0.556	4.907
39.37	77.085	-0.025	4.521
40.16	76.617	-0.556	4.907
40.94	75.911	-0.382	4.410
41.73	76.981	-0.556	4.902
42.52	75.545	-0.382	4.414
43.31	73.661	-0.733	5.457
44.09	75.520	-0.557	4.921
44.88	71.923	-0.197	5.100
45.67	69.883	-1.103	5.390
46.46	71.842	-0.560	4.973
47.24	71.842	-0.560	4.973
48.03	71.102	-0.560	4.984
48.82	72.870	-0.920	4.832
49.61	70.255	-1.102	5.384
50.39	69.617	-0.561	5.006
51.18	71.392	-0.923	4.853
51.97	70.626	-1.101	5.378
52.76	69.908	-0.926	4.874
53.54	67.270	-1.109	5.432
54.33	68.312	-1.473	5.287
55.12	71.022	-0.923	4.858
55.91	65.040	-0.935	4.947
56.69	66.114	-1.121	4.281
57.48	64.662	-0.936	4.953
58.27	69.958	-0.568	3.843
59.06	63.066	-1.311	4.848
59.84	65.040	-0.935	4.947
60.63	64.744	-0.565	5.081
61.42	64.284	-0.936	4.959
62.20	62.116	-0.386	4.597
62.99	61.270	-0.761	4.478
63.78	64.310	-0.756	4.434
64.57	60.888	-0.762	4.484
65.35	60.506	-0.762	4.489
66.14	60.423	-1.137	4.360
66.93	60.480	-0.944	5.020
67.72	59.304	-1.127	5.573
68.50	59.714	-0.945	5.033
69.29	56.182	-1.150	4.423
70.08	54.989	-1.339	4.983
70.87	52.299	-0.975	3.940
71.65	55.041	-0.967	3.901
72.44	50.891	-0.202	4.234
73.23	53.843	-1.157	4.461
74.02	50.323	-0.980	3.970
74.80	50.408	-0.591	4.104
75.59	48.046	-0.404	3.588
76.38	47.157	-0.798	3.463
77.17	49.045	-1.374	3.854
77.95	45.082	-1.003	2.794
78.74	45.950	-0.801	3.480
79.53	41.382	-1.215	3.408
80.31	42.116	-1.611	3.259
81.10	43.837	-1.204	3.372
81.89	38.813	-1.633	3.308
82.68	39.998	-1.825	2.579
83.46	40.555	-1.015	1.568
84.25	36.720	-1.436	1.457
85.04	35.849	-1.652	2.046
85.83	34.580	-1.662	2.059
86.61	34.067	-2.074	1.925
87.40	31.928	-2.097	1.947
88.19	31.157	-1.448	0.164
88.98	30.575	-2.307	1.222
89.76	29.737	-2.094	0.627
90.55	30.951	-2.487	0.485
91.34	27.987	-2.114	0.634
92.13	28.896	-1.877	0.027
92.91	27.491	-2.303	-0.111
93.70	26.633	-2.358	1.252
94.49	26.433	-1.068	0.314
95.28	27.170	-1.663	-0.581
96.06	25.719	-2.326	-0.111
96.85	24.916	-1.920	0.030
97.64	25.688	-2.560	0.504
98.43	25.242	-2.567	0.506
99.21	25.306	-2.093	-0.726
100.00	26.576	-2.547	0.500
