GRAY	Lab_L	A	B
0.00	93.350	-0.714	4.099
0.79	92.774	-0.033	3.254
1.57	93.776	-0.374	4.214
2.36	93.724	-0.543	3.611
3.15	92.024	-0.375	4.231
3.94	92.725	-0.374	4.224
4.72	88.727	-1.063	5.124
5.51	90.541	-0.718	4.126
6.30	84.609	-0.205	3.814
7.09	82.332	-0.903	4.709
7.87	83.792	-0.727	4.195
8.66	82.075	-0.379	4.337
9.45	85.145	-1.072	4.059
10.24	82.716	-0.729	4.207
11.02	83.100	-0.554	3.706
11.81	85.324	-0.205	3.807
12.60	76.746	0.150	4.020
13.39	75.545	-0.382	4.414
14.17	78.019	-0.735	4.260
14.96	75.911	-0.382	4.410
15.75	76.587	-0.561	3.771
16.54	80.194	-0.732	4.235
17.32	78.849	-0.205	3.872
18.11	80.994	-0.380	4.349
18.90	73.498	-1.279	3.554
19.69	74.654	-1.098	4.174
20.47	77.031	-0.205	3.891
21.26	75.466	-0.739	4.290
22.05	74.733	-0.740	4.298
22.83	76.641	-0.381	4.401
23.62	71.787	-0.745	4.335
24.41	75.204	-0.206	3.911
25.20	74.758	-0.563	3.790
25.98	73.736	-0.206	3.927
26.77	71.497	-0.383	4.465
27.56	75.125	-0.562	3.786
28.35	75.516	-0.384	3.275
29.13	74.679	-0.919	3.666
29.92	70.967	-1.107	4.219
30.71	69.536	-0.926	4.879
31.50	67.908	-1.480	4.130
32.28	67.695	-0.751	4.388
33.07	73.184	-1.101	4.192
33.86	69.108	-1.112	4.242
34.65	71.337	-1.106	4.214
35.43	69.773	-1.473	4.107
36.22	71.417	-0.745	4.339
37.01	65.009	-0.942	3.773
37.80	68.282	-1.478	4.126
38.58	66.114	-1.121	4.281
39.37	65.361	-1.123	4.291
40.16	61.678	-0.578	3.944
40.94	60.066	-0.954	3.834
41.73	63.497	-0.945	3.791
42.52	61.106	-1.508	4.220
43.31	67.240	-1.117	4.266
44.09	59.299	-0.956	3.844
44.88	61.270	-0.761	4.478
45.67	62.630	-1.501	4.199
46.46	57.262	-1.525	4.275
47.24	62.575	-1.687	3.545
48.03	59.600	-1.329	3.709
48.82	58.035	-1.521	4.264
49.61	60.806	-1.136	4.354
50.39	56.487	-1.528	4.287
51.18	60.149	-0.580	3.964
51.97	60.341	-1.511	4.231
52.76	59.216	-1.331	3.714
53.54	57.649	-1.523	4.269
54.33	56.125	-1.343	3.754
55.12	59.299	-0.956	3.844
55.91	57.649	-1.523	4.269
56.69	56.927	-1.152	3.207
57.48	57.784	-0.774	3.329
58.27	55.347	-1.346	3.764
59.06	54.120	-1.542	3.107
59.84	52.608	-1.358	3.802
60.63	56.043	-1.721	3.624
61.42	53.027	-1.166	3.252
62.20	54.984	-1.159	3.229
62.99	51.820	-1.362	3.813
63.78	51.285	-1.939	3.008
64.57	49.783	-1.565	3.158
65.35	47.414	-1.383	2.632
66.14	49.412	-1.373	2.612
66.93	48.161	-1.768	3.732
67.72	49.071	-1.182	3.301
68.50	50.493	-1.945	3.017
69.29	50.604	-1.367	2.600
70.08	50.715	-0.789	2.184
70.87	46.986	-1.581	3.193
71.65	48.300	-0.991	2.758
72.44	44.996	-1.396	2.659
73.23	44.883	-1.987	3.086
74.02	48.700	-0.990	2.753
74.80	43.806	-1.203	2.109
75.59	44.996	-1.396	2.659
76.38	46.611	-1.387	2.641
77.17	44.213	-1.201	2.105
77.95	40.354	-2.014	1.867
78.74	42.582	-1.209	2.120
79.53	42.086	-1.606	1.988
80.31	40.911	-1.419	2.706
81.10	44.213	-1.201	2.105
81.89	42.086	-1.606	1.988
82.68	40.469	-1.411	1.431
83.46	41.264	-1.612	1.995
84.25	38.695	-2.029	1.882
85.04	39.641	-1.417	1.437
85.83	37.890	-1.827	1.311
86.61	36.329	-1.227	0.878
87.40	37.472	-1.831	1.314
88.19	35.997	-0.826	1.019
88.98	34.859	-2.257	1.194
89.76	35.399	-1.634	0.743
90.55	36.604	-2.049	1.901
91.34	35.486	-1.232	0.881
92.13	34.639	-1.237	0.885
92.91	34.495	-1.824	0.024
93.70	33.100	-2.460	0.478
94.49	34.009	-2.266	1.199
95.28	33.186	-2.057	0.614
96.06	31.126	-1.670	0.761
96.85	31.157	-1.448	0.164
97.64	31.439	-2.296	1.216
98.43	30.605	-2.084	0.624
99.21	31.813	-2.476	0.482
100.00	25.452	-1.495	0.172
