GRAY	Lab_L	A	B
0.00	95.095	-0.347	0.953
0.79	95.095	-0.347	0.953
1.57	95.070	-0.523	1.435
2.36	95.070	-0.523	1.435
3.15	95.095	-0.347	0.953
3.94	94.722	-0.708	3.001
4.72	95.045	-0.697	1.917
5.51	95.021	-0.871	2.399
6.30	95.021	-0.871	2.399
7.09	94.746	-0.535	2.519
7.87	95.045	-0.697	1.917
8.66	95.045	-0.697	1.917
9.45	95.021	-0.871	2.399
10.24	94.746	-0.535	2.519
11.02	94.746	-0.535	2.519
11.81	94.472	-0.199	2.639
12.60	94.423	-0.542	3.605
13.39	94.472	-0.199	2.639
14.17	94.722	-0.708	3.001
14.96	94.698	-0.880	3.484
15.75	95.021	-0.871	2.399
16.54	94.722	-0.708	3.001
17.32	94.423	-0.542	3.605
18.11	94.448	-0.371	3.122
18.90	94.746	-0.535	2.519
19.69	94.472	-0.199	2.639
20.47	94.098	-0.371	3.124
21.26	94.996	-1.044	2.882
22.05	94.472	-0.199	2.639
22.83	94.373	-0.708	3.004
23.62	94.698	-0.880	3.484
24.41	94.722	-0.708	3.001
25.20	94.722	-0.708	3.001
25.98	94.123	-0.199	2.641
26.77	94.074	-0.543	3.608
27.56	93.399	-0.372	3.129
28.35	94.098	-0.371	3.124
29.13	93.450	-0.204	3.733
29.92	92.674	-0.544	3.620
30.71	93.749	-0.371	3.127
31.50	93.800	-0.204	3.730
32.28	93.200	0.307	3.370
33.07	93.526	0.136	3.852
33.86	92.048	-0.204	3.745
34.65	93.499	0.139	2.764
35.43	92.423	-0.032	3.256
36.22	92.674	-0.544	3.620
37.01	93.024	-0.544	3.617
37.80	93.100	-0.204	3.736
38.58	92.698	-0.372	3.135
39.37	92.774	-0.033	3.254
40.16	90.389	0.310	3.393
40.94	90.717	0.138	3.878
41.73	92.348	-0.372	3.137
42.52	91.746	0.140	2.775
43.31	90.969	-0.375	4.242
44.09	92.499	0.308	3.376
44.88	92.072	-0.032	3.259
45.67	91.094	0.309	3.387
46.46	90.666	-0.032	3.270
47.24	91.746	0.140	2.775
48.03	91.470	0.481	2.898
48.82	90.993	-0.204	3.754
49.61	90.313	-0.032	3.273
50.39	90.969	-0.375	4.242
51.18	89.936	-0.204	3.764
51.97	90.037	0.310	3.396
52.76	89.860	-0.547	3.644
53.54	90.237	-0.374	3.153
54.33	87.789	-0.377	4.275
55.12	89.153	-0.548	3.650
55.91	89.860	-0.547	3.644
56.69	90.264	-0.376	4.249
57.48	88.901	-0.032	3.284
58.27	88.092	-0.549	3.660
59.06	86.393	-0.205	3.797
59.84	87.814	-0.205	3.784
60.63	87.636	-1.066	4.034
61.42	87.991	-1.066	4.031
62.20	87.281	-1.067	4.038
62.99	86.672	-0.550	3.673
63.78	87.358	-0.722	4.158
64.57	87.358	-0.722	4.158
65.35	84.865	-0.726	4.184
66.14	82.459	-0.205	3.835
66.93	82.434	-0.379	4.333
67.72	80.351	-0.027	4.481
68.50	83.177	-0.205	3.828
69.29	83.511	-0.379	4.321
70.08	81.715	-0.379	4.341
70.87	81.355	-0.379	4.345
71.65	78.461	-0.381	4.379
72.44	77.370	-0.381	4.392
73.23	72.212	-0.560	4.968
74.02	74.104	-0.206	3.923
74.80	72.157	-0.744	4.330
75.59	76.301	-0.206	3.899
76.38	72.895	-0.743	4.321
77.17	71.152	-0.206	3.957
77.95	66.114	-1.121	4.281
78.74	63.931	-0.757	4.439
79.53	66.139	-0.939	3.759
80.31	60.506	-0.762	4.489
81.10	63.820	-1.128	3.134
81.89	63.117	-0.946	3.796
82.68	57.455	-0.583	4.000
83.46	56.513	-1.342	3.749
84.25	52.241	-1.169	3.262
85.04	49.071	-1.182	3.301
85.83	47.472	-1.189	3.322
86.61	47.900	-0.993	2.762
87.40	42.319	-0.614	2.966
88.19	46.986	-1.581	3.193
88.98	42.231	-1.014	2.828
89.76	36.477	-0.628	1.739
90.55	37.618	-1.235	2.168
91.34	37.861	-2.037	1.889
92.13	34.521	-1.857	1.334
92.91	33.789	-1.242	0.889
93.70	32.387	-1.877	1.349
94.49	33.583	-2.271	1.202
95.28	30.605	-2.084	0.624
96.06	28.308	-2.750	1.100
96.85	27.547	-2.120	0.636
97.64	28.864	-2.104	0.631
98.43	26.252	-1.905	0.029
99.21	27.579	-1.891	0.028
100.00	26.576	-2.547	0.500
