GRAY	Lab_L	A	B
0.00	95.021	-0.871	2.399
0.79	94.996	-1.044	2.882
1.57	94.996	-1.044	2.882
2.36	95.045	-0.697	1.917
3.15	95.045	-0.697	1.917
3.94	95.021	-0.871	2.399
4.72	94.996	-1.044	2.882
5.51	94.996	-1.044	2.882
6.30	95.021	-0.871	2.399
7.09	94.722	-0.708	3.001
7.87	94.972	-1.216	3.364
8.66	95.070	-0.523	1.435
9.45	94.948	-1.388	3.847
10.24	95.045	-0.697	1.917
11.02	94.722	-0.708	3.001
11.81	95.045	-0.697	1.917
12.60	94.996	-1.044	2.882
13.39	95.021	-0.871	2.399
14.17	94.996	-1.044	2.882
14.96	95.070	-0.523	1.435
15.75	95.021	-0.871	2.399
16.54	94.972	-1.216	3.364
17.32	95.021	-0.871	2.399
18.11	94.972	-1.216	3.364
18.90	94.399	-0.713	4.089
19.69	94.972	-1.216	3.364
20.47	95.021	-0.871	2.399
21.26	95.021	-0.871	2.399
22.05	95.021	-0.871	2.399
22.83	94.996	-1.044	2.882
23.62	94.972	-1.216	3.364
24.41	94.722	-0.708	3.001
25.20	94.423	-0.542	3.605
25.98	94.399	-0.713	4.089
26.77	94.423	-0.542	3.605
27.56	94.149	-0.204	3.727
28.35	94.324	-1.052	3.971
29.13	94.399	-0.713	4.089
29.92	94.423	-0.542	3.605
30.71	94.423	-0.542	3.605
31.50	94.149	-0.204	3.727
32.28	93.550	0.307	3.367
33.07	93.776	-0.374	4.214
33.86	93.700	-0.714	4.095
34.65	93.700	-0.714	4.095
35.43	92.749	-0.204	3.739
36.22	93.450	-0.204	3.733
37.01	92.399	-0.204	3.742
37.80	93.100	-0.204	3.736
38.58	93.450	-0.204	3.733
39.37	93.076	-0.374	4.221
40.16	92.399	-0.204	3.742
40.94	92.749	-0.204	3.739
41.73	92.024	-0.375	4.231
42.52	91.373	-0.202	4.846
43.31	92.674	-0.544	3.620
44.09	92.124	0.137	3.865
44.88	91.069	0.138	3.874
45.67	90.617	-0.375	4.246
46.46	92.399	-0.204	3.742
47.24	90.969	-0.375	4.242
48.03	89.105	-0.892	4.630
48.82	90.917	-0.546	3.635
49.61	90.993	-0.204	3.754
50.39	89.912	-0.376	4.253
51.18	90.565	-0.546	3.638
51.97	89.507	-0.547	3.647
52.76	88.800	-0.548	3.654
53.54	89.205	-0.376	4.260
54.33	89.153	-0.548	3.650
55.12	88.421	-0.721	4.147
55.91	86.598	-1.067	5.151
56.69	86.368	-0.377	4.290
57.48	86.368	-0.377	4.290
58.27	83.767	-0.901	4.692
59.06	84.841	-0.899	4.679
59.84	85.554	-0.897	4.670
60.63	83.792	-0.727	4.195
61.42	83.792	-0.727	4.195
62.20	83.792	-0.727	4.195
62.99	85.299	-0.378	4.301
63.78	83.869	-0.378	4.317
64.57	83.511	-0.379	4.321
65.35	79.911	-0.380	4.362
66.14	81.458	0.146	3.969
66.93	79.524	-0.554	4.868
67.72	78.824	-0.381	4.375
68.50	76.276	-0.382	4.405
69.29	79.857	-0.557	3.738
70.08	76.119	-1.094	4.157
70.87	75.595	-0.028	3.400
71.65	73.343	-0.383	4.442
72.44	71.442	-0.567	3.826
73.23	71.762	-0.922	4.847
74.02	68.816	-0.749	4.373
74.80	69.456	-1.291	4.753
75.59	70.305	-0.747	4.354
76.38	69.401	-1.474	4.112
77.17	62.383	-0.764	3.278
77.95	62.059	-0.577	3.939
78.74	57.731	-1.145	4.400
79.53	59.574	-1.515	4.242
80.31	56.875	-1.527	4.281
81.10	56.596	-0.963	3.880
81.89	55.041	-0.967	3.901
82.68	53.759	-1.541	4.329
83.46	53.310	-1.737	3.660
84.25	45.169	-0.609	2.930
85.04	43.809	-1.399	3.937
85.83	44.649	-1.201	3.361
86.61	41.706	-1.614	3.265
87.40	38.424	-1.434	2.737
88.19	43.778	-1.403	2.672
88.98	40.085	-1.424	2.716
89.76	36.691	-1.645	2.038
90.55	33.612	-2.291	2.520
91.34	32.904	-1.463	1.485
92.13	31.646	-1.256	0.899
92.91	31.007	-2.301	1.219
93.70	31.095	-1.890	1.358
94.49	31.126	-1.670	0.761
95.28	33.214	-2.083	1.934
96.06	30.141	-2.312	1.225
96.85	28.922	-1.912	1.375
97.64	31.095	-1.890	1.358
98.43	30.663	-1.894	1.362
99.21	29.183	-2.736	1.094
100.00	27.517	-2.346	1.245
