GRAY	Lab_L	A	B
0.00	94.996	-1.044	2.882
0.79	94.050	-0.713	4.092
1.57	93.776	-0.374	4.214
2.36	93.975	-1.053	3.974
3.15	92.749	-0.204	3.739
3.94	92.299	-0.716	4.109
4.72	92.299	-0.716	4.109
5.51	91.697	-0.204	3.748
6.30	90.993	-0.204	3.754
7.09	89.835	-0.719	4.133
7.87	91.294	-0.373	3.145
8.66	90.188	-0.718	4.129
9.45	89.860	-0.547	3.644
10.24	88.699	-1.064	4.024
11.02	86.978	-0.895	4.654
11.81	86.930	-1.237	5.639
12.60	89.482	-0.719	4.136
13.39	88.370	-0.892	3.537
14.17	88.345	-1.065	4.027
14.96	87.003	-0.723	4.162
15.75	88.751	-0.892	4.634
16.54	84.150	-0.727	4.192
17.32	84.150	-0.727	4.192
18.11	85.554	-0.897	4.670
18.90	85.603	-0.551	3.683
19.69	84.788	-1.073	4.063
20.47	83.409	-0.901	4.696
21.26	82.100	-0.205	3.839
22.05	83.075	-0.728	4.203
22.83	81.637	-0.730	4.219
23.62	79.730	-1.260	4.618
24.41	81.560	-1.081	4.097
25.20	79.471	-0.733	4.243
25.98	79.108	-0.734	4.247
26.77	78.849	-0.205	3.872
27.56	77.267	-0.912	4.773
28.35	77.681	-0.560	3.760
29.13	79.133	-0.558	3.745
29.92	77.135	-1.445	4.022
30.71	77.499	-1.444	4.018
31.50	76.562	-0.738	4.277
32.28	77.966	-0.912	3.633
33.07	76.276	-0.382	4.405
33.86	75.545	-0.382	4.414
34.65	75.100	-0.740	4.294
35.43	72.815	-1.102	4.196
36.22	73.999	-0.741	4.307
37.01	71.337	-1.106	4.214
37.80	73.552	-1.101	4.187
38.58	73.895	-1.277	4.692
39.37	71.337	-1.106	4.214
40.16	72.815	-1.102	4.196
40.94	68.656	-1.477	4.121
41.73	69.853	-1.110	4.232
42.52	69.773	-1.473	4.107
43.31	67.908	-1.480	4.130
44.09	64.877	-1.674	4.692
44.88	65.255	-1.672	4.686
45.67	67.640	-0.935	3.742
46.46	67.908	-1.480	4.130
47.24	67.960	-1.115	3.094
48.03	64.254	-0.944	3.782
48.82	66.059	-1.305	3.633
49.61	61.570	-1.134	4.343
50.39	67.265	-0.936	3.746
51.18	66.409	-1.486	4.149
51.97	64.525	-1.494	4.174
52.76	62.276	-1.319	3.677
53.54	58.914	-0.957	3.849
54.33	59.273	-1.141	4.376
55.12	59.574	-1.515	4.242
55.91	59.190	-1.516	4.247
56.69	60.341	-1.511	4.231
57.48	58.446	-1.334	3.724
58.27	56.901	-1.340	3.744
59.06	55.041	-0.967	3.901
59.84	57.979	-1.711	3.600
60.63	53.393	-1.355	3.791
61.42	55.347	-1.346	3.764
62.20	54.958	-1.348	3.770
62.99	54.260	-0.969	3.912
63.78	55.736	-1.345	3.759
64.57	56.405	-1.907	4.157
65.35	53.336	-1.546	3.116
66.14	51.341	-1.749	3.687
66.93	52.104	-1.934	4.222
67.72	58.364	-1.709	3.595
68.50	51.341	-1.749	3.687
69.29	49.555	-0.792	3.430
70.08	52.268	-0.978	2.716
70.87	48.987	-1.570	3.168
71.65	49.443	-1.372	3.848
72.44	46.181	-1.586	3.204
73.23	47.387	-1.579	3.188
74.02	47.500	-0.994	2.767
74.80	45.863	-1.195	3.344
75.59	50.207	-1.369	2.604
76.38	46.181	-1.586	3.204
77.17	44.968	-1.593	3.220
77.95	46.153	-1.781	3.763
78.74	41.821	-1.015	2.833
79.53	44.591	-1.398	2.663
80.31	42.116	-1.611	3.259
81.10	42.467	-1.806	2.551
81.89	45.432	-1.391	3.910
82.68	45.777	-1.588	3.209
83.46	40.085	-1.424	2.716
84.25	39.998	-1.825	2.579
85.04	37.948	-1.636	2.026
85.83	37.111	-1.642	2.034
86.61	37.386	-2.456	3.053
87.40	35.456	-1.444	1.466
88.19	38.869	-1.228	2.155
88.98	37.530	-1.639	2.030
89.76	34.580	-1.662	2.059
90.55	35.486	-1.232	0.881
91.34	35.339	-2.062	1.913
92.13	34.067	-2.074	1.925
92.91	32.816	-1.873	1.346
93.70	32.387	-1.877	1.349
94.49	35.675	-2.461	1.772
95.28	33.011	-3.116	2.252
96.06	33.554	-2.487	1.792
96.85	30.171	-2.089	0.625
97.64	28.922	-1.912	1.375
98.43	29.706	-2.317	1.229
99.21	29.619	-2.730	1.091
100.00	27.782	-3.170	0.966
