Input,SP1v7_Quad,SP1v8_Quad,Quad_Change,SP1v7_Density,SP1v8_Density,Density_Boost
0,0,1638,1638,0.000000,0.100000,0.100000
1,28,1665,1637,0.001709,0.101628,0.099919
2,56,1691,1635,0.003418,0.103255,0.099837
3,85,1718,1633,0.005188,0.104883,0.099695
4,113,1745,1632,0.006897,0.106511,0.099614
5,141,1771,1630,0.008606,0.108139,0.099533
6,170,1798,1628,0.010376,0.109766,0.099390
7,198,1825,1627,0.012085,0.111394,0.099309
8,227,1851,1624,0.013855,0.113022,0.099167
9,362,1985,1623,0.022095,0.121211,0.099116
10,498,2120,1622,0.030396,0.129400,0.099004
11,634,2254,1620,0.038697,0.137589,0.098892
12,770,2388,1618,0.046998,0.145778,0.098781
13,906,2522,1616,0.055299,0.153967,0.098669
14,1042,2656,1614,0.063600,0.162157,0.098557
15,1178,2790,1612,0.071901,0.170346,0.098445
16,1314,2925,1611,0.080201,0.178535,0.098333
17,1395,3004,1609,0.085145,0.183405,0.098260
18,1477,3084,1607,0.090150,0.188275,0.098125
19,1558,3164,1606,0.095094,0.193146,0.098051
20,1640,3244,1604,0.100099,0.198016,0.097917
21,1721,3324,1603,0.105043,0.202886,0.097843
22,1803,3403,1600,0.110048,0.207756,0.097708
23,1884,3483,1599,0.114992,0.212627,0.097635
24,1966,3563,1597,0.119997,0.217497,0.097500
25,2096,3692,1596,0.127932,0.225358,0.097426
26,2227,3821,1594,0.135927,0.233219,0.097292
27,2357,3949,1592,0.143862,0.241080,0.097218
28,2488,4078,1590,0.151858,0.248941,0.097083
29,2618,4207,1589,0.159792,0.256802,0.097010
30,2749,4336,1587,0.167788,0.264663,0.096875
31,2879,4464,1585,0.175723,0.272524,0.096801
32,3010,4593,1583,0.183719,0.280385,0.096667
33,3140,4722,1582,0.191653,0.288246,0.096593
34,3271,4851,1580,0.199649,0.296107,0.096458
35,3401,4980,1579,0.207584,0.303968,0.096385
36,3532,5108,1576,0.215579,0.311829,0.096250
37,3662,5237,1575,0.223514,0.319691,0.096176
38,3793,5366,1573,0.231510,0.327552,0.096042
39,3923,5495,1572,0.239445,0.335413,0.095968
40,4054,5624,1570,0.247440,0.343274,0.095833
41,4184,5752,1568,0.255375,0.351127,0.095752
42,4314,5881,1567,0.263310,0.358980,0.095671
43,4445,6010,1565,0.271305,0.366834,0.095528
44,4575,6138,1563,0.279240,0.374687,0.095447
45,4705,6267,1562,0.287175,0.382541,0.095366
46,4836,6396,1560,0.295171,0.390394,0.095224
47,4966,6524,1558,0.303105,0.398248,0.095142
48,5097,6653,1556,0.311101,0.406101,0.095000
49,5222,6776,1554,0.318730,0.413634,0.094903
50,5347,6900,1553,0.326360,0.421167,0.094807
51,5472,7023,1551,0.333989,0.428700,0.094710
52,5597,7147,1550,0.341619,0.436233,0.094614
53,5722,7270,1548,0.349248,0.443766,0.094517
54,5847,7393,1546,0.356878,0.451299,0.094421
55,5972,7517,1545,0.364508,0.458832,0.094324
56,6098,7640,1542,0.372198,0.466365,0.094167
57,6229,7770,1541,0.380194,0.474279,0.094085
58,6360,7900,1540,0.388190,0.482194,0.094004
59,6492,8029,1537,0.396246,0.490108,0.093862
60,6623,8159,1536,0.404242,0.498023,0.093781
61,6754,8289,1535,0.412238,0.505937,0.093699
62,6886,8418,1532,0.420294,0.513851,0.093557
63,7017,8548,1531,0.428290,0.521766,0.093476
64,7149,8678,1529,0.436347,0.529680,0.093333
65,7235,8762,1527,0.441596,0.534848,0.093252
66,7321,8847,1526,0.446845,0.540016,0.093171
67,7408,8932,1524,0.452155,0.545184,0.093028
68,7494,9016,1522,0.457404,0.550352,0.092947
69,7580,9101,1521,0.462654,0.555519,0.092866
70,7667,9186,1519,0.467964,0.560687,0.092724
71,7753,9270,1517,0.473213,0.565855,0.092642
72,7840,9355,1515,0.478523,0.571023,0.092500
73,7973,9487,1514,0.486641,0.579075,0.092434
74,8107,9619,1512,0.494820,0.587126,0.092307
75,8240,9751,1511,0.502937,0.595178,0.092241
76,8374,9883,1509,0.511116,0.603230,0.092114
77,8508,10015,1507,0.519295,0.611282,0.091987
78,8641,10147,1506,0.527413,0.619334,0.091921
79,8775,10278,1503,0.535592,0.627385,0.091794
80,8909,10410,1501,0.543771,0.635437,0.091667
81,9093,10593,1500,0.555001,0.646587,0.091585
82,9277,10776,1499,0.566232,0.657736,0.091504
83,9462,10958,1496,0.577523,0.668885,0.091362
84,9646,11141,1495,0.588754,0.680035,0.091281
85,9830,11324,1494,0.599985,0.691184,0.091199
86,10015,11506,1491,0.611276,0.702333,0.091057
87,10199,11689,1490,0.622507,0.713483,0.090976
88,10384,11872,1488,0.633799,0.724632,0.090833
89,10509,11995,1486,0.641428,0.732157,0.090729
90,10634,12118,1484,0.649058,0.739683,0.090625
91,10759,12242,1483,0.656687,0.747208,0.090521
92,10884,12365,1481,0.664317,0.754733,0.090417
93,11009,12488,1479,0.671946,0.762259,0.090312
94,11134,12611,1477,0.679576,0.769784,0.090208
95,11259,12735,1476,0.687205,0.777309,0.090104
96,11384,12858,1474,0.694835,0.784835,0.090000
97,11544,13016,1472,0.704601,0.794496,0.089896
