Input,Quad_Value,Baseline,Predicted_Density
0,0,0.000000,0.093500
1,0,0.000000,0.093500
2,0,0.000000,0.093500
3,0,0.000000,0.093500
4,0,0.000000,0.093500
5,0,0.000000,0.093500
6,0,0.000000,0.093500
7,96,0.373541,0.096259
8,227,0.883268,0.100025
9,444,1.727626,0.106262
10,662,2.575875,0.112528
11,879,3.420233,0.118765
12,1097,4.268482,0.125031
13,1314,5.112840,0.131269
14,1532,5.961089,0.137535
15,1749,6.805447,0.143772
16,1966,7.649805,0.150009
17,2097,8.159533,0.153774
18,2227,8.665370,0.157511
19,2358,9.175097,0.161276
20,2488,9.680934,0.165013
21,2619,10.190661,0.168778
22,2749,10.696498,0.172515
23,2880,11.206226,0.176280
24,3010,11.712062,0.180017
25,3097,12.050584,0.182518
26,3184,12.389105,0.185018
27,3271,12.727626,0.187519
28,3358,13.066148,0.190020
29,3445,13.404669,0.192520
30,3532,13.743191,0.195021
31,3619,14.081712,0.197522
32,3706,14.420233,0.200022
33,3793,14.758755,0.202523
34,3880,15.097276,0.205024
35,3967,15.435798,0.207524
36,4054,15.774319,0.210025
37,4141,16.112840,0.212526
38,4228,16.451362,0.215026
39,4315,16.789883,0.217527
40,4402,17.128405,0.220028
41,4576,17.805447,0.225029
42,4749,18.478599,0.230001
43,4923,19.155642,0.235003
44,5097,19.832685,0.240004
45,5271,20.509728,0.245005
46,5445,21.186770,0.250007
47,5619,21.863813,0.255008
48,5793,22.540856,0.260009
49,5945,23.132296,0.264378
50,6098,23.727626,0.268776
51,6250,24.319066,0.273145
52,6402,24.910506,0.277514
53,6554,25.501946,0.281883
54,6706,26.093385,0.286252
55,6859,26.688716,0.290650
56,7011,27.280156,0.295019
57,7149,27.817121,0.298985
58,7287,28.354086,0.302952
59,7425,28.891051,0.306918
60,7564,29.431907,0.310913
61,7702,29.968872,0.314880
62,7840,30.505837,0.318847
63,7978,31.042802,0.322813
64,8117,31.583658,0.326808
65,8249,32.097276,0.330603
66,8381,32.610895,0.334397
67,8513,33.124514,0.338191
68,8645,33.638132,0.341985
69,8777,34.151751,0.345779
70,8909,34.665370,0.349573
71,9041,35.178988,0.353367
72,9173,35.692607,0.357161
73,9306,36.210117,0.360984
74,9440,36.731518,0.364836
75,9573,37.249027,0.368659
76,9707,37.770428,0.372510
77,9840,38.287938,0.376333
78,9974,38.809339,0.380185
