input,v19_density,v18_density,v7_density,v19_v7_diff,v19_v18_diff,v18_v7_diff
0,0.0700,0.0700,0.0700,0.0000,0.0000,0.0000
8,0.0800,0.0800,0.0800,0.0000,0.0000,0.0000
16,0.1100,0.1100,0.1100,0.0000,0.0000,0.0000
24,0.1300,0.1300,0.1400,-0.0100,0.0000,-0.0100
32,0.1600,0.1600,0.1700,-0.0100,0.0000,-0.0100
40,0.1900,0.1900,0.2000,-0.0100,0.0000,-0.0100
48,0.2200,0.2200,0.2300,-0.0100,0.0000,-0.0100
56,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000
64,0.2800,0.2800,0.2800,0.0000,0.0000,0.0000
72,0.3000,0.3000,0.3000,0.0000,0.0000,0.0000
80,0.3300,0.3300,0.3300,0.0000,0.0000,0.0000
88,0.3600,0.3600,0.3700,-0.0100,0.0000,-0.0100
96,0.3900,0.3900,0.4000,-0.0100,0.0000,-0.0100
104,0.4200,0.4100,0.4400,-0.0200,0.0100,-0.0300
112,0.4400,0.4400,0.4700,-0.0300,0.0000,-0.0300
120,0.4700,0.4600,0.5000,-0.0300,0.0100,-0.0400
128,0.5000,0.4900,0.5300,-0.0300,0.0100,-0.0400
136,0.5500,0.5400,0.5800,-0.0300,0.0100,-0.0400
144,0.5900,0.5700,0.6200,-0.0300,0.0200,-0.0500
152,0.6300,0.6100,0.6600,-0.0300,0.0200,-0.0500
160,0.6700,0.6500,0.7000,-0.0300,0.0200,-0.0500
168,0.7100,0.6900,0.7400,-0.0300,0.0200,-0.0500
176,0.7500,0.7400,0.7800,-0.0300,0.0100,-0.0400
184,0.7900,0.7800,0.8200,-0.0300,0.0100,-0.0400
192,0.8600,0.8200,0.8700,-0.0100,0.0400,-0.0500
200,0.9000,0.8800,0.9200,-0.0200,0.0200,-0.0400
208,0.9400,0.9100,0.9600,-0.0200,0.0300,-0.0500
216,0.9800,0.9500,1.0000,-0.0200,0.0300,-0.0500
224,1.0500,1.0200,1.0700,-0.0200,0.0300,-0.0500
232,1.0800,1.0800,1.1200,-0.0400,0.0000,-0.0400
240,1.1700,1.1600,1.1700,0.0000,0.0100,-0.0100
248,1.2400,1.2200,1.2100,0.0300,0.0200,0.0100
255,1.2900,,1.6900,-0.4000,,
