Input,SP1v7_Predicted,Measured_Raw,Measured_Corrected,SP1v7_Error,SP1v9_Predicted,SP1v9_Change
0.0,0.0,0.07,0.0,0.0,0.0,0.0
8.0,0.013855,0.08,0.009999999999999995,-0.0038550000000000043,0.013855,0.0
16.0,0.080201,0.11,0.039999999999999994,-0.040201,0.13019,0.049989000000000006
24.0,0.119997,0.14,0.07,-0.049997,0.173526,0.05352900000000001
32.0,0.183719,0.17,0.1,-0.08371899999999999,0.240848,0.05712900000000001
40.0,0.24744,0.2,0.13,-0.11743999999999999,0.30811,0.06067
48.0,0.311101,0.23,0.16,-0.151101,0.375372,0.06427099999999997
56.0,0.372198,0.25,0.18,-0.19219799999999998,0.440009,0.06781100000000001
64.0,0.436347,0.28,0.21000000000000002,-0.22634699999999996,0.507759,0.07141199999999998
72.0,0.478523,0.3,0.22999999999999998,-0.248523,0.553475,0.07495200000000007
80.0,0.543771,0.33,0.26,-0.283771,0.622324,0.07855299999999998
88.0,0.633799,0.37,0.3,-0.333799,0.715892,0.08209299999999997
96.0,0.694835,0.4,0.33,-0.36483499999999996,0.780529,0.08569400000000005
104.0,0.772961,0.44,0.37,-0.402961,0.862196,0.08923499999999995
112.0,0.84065,0.47,0.39999999999999997,-0.44065000000000004,0.933486,0.09283600000000003
120.0,0.903029,0.5,0.43,-0.473029,0.999405,0.09637600000000002
128.0,0.969375,0.53,0.46,-0.5093749999999999,0.919326,-0.05004900000000001
136.0,1.079301,0.58,0.51,-0.5693010000000001,1.030655,-0.04864599999999997
144.0,1.136797,0.62,0.55,-0.586797,1.089555,-0.047242000000000006
152.0,1.203388,0.66,0.5900000000000001,-0.6133879999999998,1.157488,-0.04589999999999983
160.0,1.288594,0.7,0.6299999999999999,-0.6585940000000001,1.244099,-0.04449499999999995
168.0,1.370809,0.74,0.6699999999999999,-0.700809,1.327657,-0.04315199999999986
176.0,1.46041,0.78,0.71,-0.75041,1.418662,-0.041747999999999896
184.0,1.56582,0.82,0.75,-0.81582,1.525475,-0.040345000000000075
192.0,1.63772,0.87,0.8,-0.83772,1.598718,-0.03900199999999998
200.0,1.725124,0.92,0.8500000000000001,-0.875124,1.687526,-0.03759800000000002
208.0,1.808011,0.96,0.8899999999999999,-0.9180110000000001,1.771756,-0.036254999999999926
216.0,1.91281,1.0,0.9299999999999999,-0.98281,1.877958,-0.03485199999999988
224.0,2.049775,1.07,1.0,-1.049775,2.016266,-0.03350900000000001
232.0,2.182406,1.12,1.05,-1.1324059999999998,2.150301,-0.03210500000000005
240.0,2.256016,1.17,1.0999999999999999,-1.156016,2.225315,-0.030700999999999645
248.0,2.349645,1.21,1.14,-1.2096450000000003,2.349645,0.0
255.0,3.411368,1.69,1.6199999999999999,-1.791368,3.411368,0.0
