input,k_value
0,0
1,173
2,346
3,518
4,691
5,864
6,1037
7,1210
8,1383
9,1555
10,1728
11,1901
12,2074
13,2247
14,2420
15,2592
16,2765
17,2938
18,3111
19,3284
20,3457
21,3629
22,3802
23,3975
24,4148
25,4268
26,4388
27,4507
28,4627
29,4747
30,4867
31,4987
32,5107
33,5226
34,5346
35,5466
36,5586
37,5706
38,5826
39,5945
40,6065
41,6185
42,6305
43,6425
44,6545
45,6664
46,6784
47,6904
48,7024
49,7144
50,7264
51,7383
52,7503
53,7623
54,7743
55,7863
56,7983
57,8102
58,8222
59,8342
60,8462
61,8582
62,8702
63,8821
64,8941
65,9061
66,9181
67,9301
68,9421
69,9540
70,9660
71,9780
72,9900
73,10020
74,10140
75,10259
76,10379
77,10499
78,10619
79,10739
80,10859
81,10978
82,11098
83,11218
84,11338
85,11458
86,11578
87,11697
88,11817
89,11937
90,12057
91,12177
92,12297
93,12416
94,12536
95,12656
96,12776
97,12896
98,13016
99,13135
100,13255
101,13375
102,13495
103,13615
104,13735
105,13854
106,13974
107,14094
108,14214
109,14334
110,14454
111,14573
112,14693
113,14813
114,14933
115,15053
116,15173
117,15292
118,15412
119,15532
120,15652
121,15772
122,15892
123,16011
124,16131
125,16251
126,16371
127,16491
128,16611
129,16730
130,16850
131,16970
132,17090
133,17210
134,17329
135,17449
136,17569
137,17689
138,17809
139,17929
140,18048
141,18168
142,18288
143,18408
144,18528
145,18648
146,18767
147,18887
148,19007
149,19127
150,19247
151,19367
152,19486
153,19606
154,19726
155,19846
156,19966
157,20086
158,20205
159,20325
160,20445
161,20565
162,20685
163,20805
164,20924
165,21044
166,21164
167,21284
168,21404
169,21524
170,21643
171,21763
172,21883
173,22003
174,22123
175,22243
176,22362
177,22482
178,22602
179,22722
180,22842
181,22962
182,23081
183,23201
184,23321
185,23441
186,23561
187,23681
188,23800
189,23920
190,24040
191,24160
192,24280
193,24400
194,24519
195,24639
196,24759
197,24879
198,24999
199,25119
200,25238
201,25358
202,25478
203,25598
204,25718
205,25838
206,25957
207,26077
208,26197
209,26317
210,26437
211,26557
212,26676
213,26796
214,26916
215,27036
216,27156
217,27276
218,27395
219,27515
220,27635
221,27755
222,27875
223,27995
224,28114
225,28234
226,28354
227,28474
228,28594
229,28714
230,28833
231,28953
232,29073
233,29352
234,29632
235,29911
236,30191
237,30470
238,30750
239,31029
240,31308
241,31588
242,31867
243,32147
244,32426
245,32706
246,32985
247,33265
248,33544
249,33823
250,34103
251,34382
252,34662
253,34941
254,35221
255,35500
