input,v23_k_value,v23_negative_density,v23_print_density
0,0,0.07,1.38
8,227,0.08,1.37
16,1314,0.11,1.35
24,1966,0.13,1.35
32,3010,0.17,1.33
40,4054,0.19,1.3
48,5097,0.22,1.28
56,6098,0.25,1.25
64,7149,0.28,1.2
72,7840,0.3,1.19
80,8909,0.33,1.13
88,10084,0.36,1.06
96,10784,0.38,1.01
104,11763,0.41,0.95
112,12573,0.44,0.95
120,13295,0.46,0.85
128,13976,0.48,0.8
136,16183,0.54,0.64
144,17125,0.58,0.55
152,18216,0.61,0.52
160,19612,0.65,0.43
168,20959,0.69,0.36
176,22427,0.73,0.3
184,24154,0.79,0.24
192,25332,0.83,0.17
200,26763,0.88,0.16
208,28122,0.91,0.13
216,29839,0.96,0.1
224,32037,1.02,0.08
232,33922,1.07,0.07
240,35613,1.13,0.06
248,38495,1.21,0.05
255,40168,1.25,0.05
