input,v9 negative_density,,v7 negative_density
0,0.07,,0.07
8,0.08,,0.08
16,0.14,,0.11
24,0.16,,0.14
32,0.19,,0.17
40,0.22,,0.2
48,0.25,,0.23
56,0.28,,0.25
64,0.31,,0.28
72,0.33,,0.3
80,0.37,,0.33
88,0.41,,0.37
96,0.45,,0.4
104,0.51,,0.44
112,0.52,,0.47
120,0.56,,0.5
128,0.52,,0.53
136,0.57,,0.58
144,0.61,,0.62
152,0.63,,0.66
160,0.68,,0.7
168,0.73,,0.74
176,0.77,,0.78
184,0.82,,0.82
192,0.87,,0.87
200,0.91,,0.92
208,0.95,,0.96
216,1.01,,1
224,1.08,,1.07
232,1.12,,1.12
240,1.17,,1.17
248,1.23,,1.21
255,1.73,,1.69
