input,negative_transmission,print_reflection_7min,print_reflection_8m15s,difference_7m_minus_8m15s,density_gradient_7min
0,0.07,1.42,1.44,-0.020000000000000018,-0.0
8,0.08,1.42,1.46,-0.040000000000000036,-0.0012500000000000011
16,0.12,1.41,1.44,-0.030000000000000027,-0.0012500000000000011
24,0.14,1.4,1.44,-0.040000000000000036,-0.0025000000000000022
32,0.17,1.38,1.42,-0.040000000000000036,-0.0012499999999999734
40,0.2,1.37,1.4,-0.029999999999999805,-0.0012500000000000011
48,0.22,1.36,1.4,-0.039999999999999813,-0.0050000000000000044
56,0.25,1.32,1.38,-0.05999999999999983,-0.0025000000000000022
64,0.28,1.3,1.34,-0.040000000000000036,-0.0062500000000000056
72,0.3,1.25,1.31,-0.06000000000000005,-0.007500000000000007
80,0.33,1.19,1.25,-0.06000000000000005,-0.012499999999999983
88,0.36,1.09,1.17,-0.07999999999999985,-0.0
96,0.39,1.09,1.19,-0.09999999999999987,-0.010000000000000009
104,0.42,1.01,1.12,-0.1100000000000001,-0.007500000000000007
112,0.44,0.95,1.05,-0.10000000000000009,-0.011249999999999996
120,0.46,0.86,1.0,-0.14,-0.008749999999999994
128,0.5,0.79,0.88,-0.08999999999999997,-0.021250000000000005
136,0.55,0.62,0.74,-0.12,-0.0
144,0.58,0.62,0.75,-0.13,-0.012499999999999997
152,0.62,0.52,0.67,-0.15000000000000002,-0.013750000000000005
160,0.66,0.41,0.57,-0.15999999999999998,-0.009999999999999995
168,0.7,0.33,0.48,-0.14999999999999997,-0.0075
176,0.74,0.27,0.39,-0.12,-0.011250000000000003
184,0.79,0.18,0.3,-0.12,-0.0
192,0.84,0.18,0.28,-0.10000000000000003,-0.0049999999999999975
200,0.89,0.14,0.23,-0.09,-0.005000000000000001
208,0.93,0.1,0.19,-0.09,-0.0025000000000000005
216,0.98,0.08,0.15,-0.06999999999999999,-0.0025000000000000005
224,1.04,0.06,0.11,-0.05,-0.0012499999999999994
232,1.08,0.05,0.09,-0.039999999999999994,-0.0012500000000000002
240,1.17,0.04,0.08,-0.04,-0.0
248,1.23,0.04,0.07,-0.030000000000000006,-0.0
255,1.29,0.04,0.06,-0.019999999999999997,
