input,negative_density,print_density
0,0.07,0.07
8,0.1,0.08
16,0.13,0.11
24,0.15,0.13
32,0.18,0.16
40,0.21,0.19
48,0.24,0.22
56,0.27,0.25
64,0.3,0.28
72,0.32,0.3
80,0.35,0.33
88,0.39,0.37
96,0.42,0.41
104,0.46,0.45
112,0.49,0.48
120,0.52,0.51
128,0.55,0.55
136,0.6,0.59
144,0.63,0.64
152,0.66,0.67
160,0.7,0.72
168,0.74,0.75
176,0.78,0.8
184,0.83,0.83
192,0.87,0.9
200,0.91,0.95
208,0.95,0.98
216,1,1.03
224,1.06,1.08
232,1.12,1.13
240,1.16,1.21
248,1.23,1.24
255,1.35,1.34
