# SP1v21 Measurement Data - CORRECTED EXPOSURE (7min)
# Exposure: 7min (420 sec) - corrected from 8min15sec (-1/3 stop)
# Negative: SP1v21 - measured in TRANSMISSION density
# Print: Pt/Pd on Revere Platinum - measured in REFLECTION density
# Date: 2026-03-19
# Purpose: Verify proper exposure and determine optimal negative density curve
#
input,negative_density_transmission,print_density_reflection
0,0.07,1.42
8,0.08,1.42
16,0.12,1.41
24,0.14,1.40
32,0.17,1.38
40,0.20,1.37
48,0.22,1.36
56,0.25,1.32
64,0.28,1.30
72,0.30,1.25
80,0.33,1.19
88,0.36,1.09
96,0.39,1.09
104,0.42,1.01
112,0.44,0.95
120,0.46,0.86
128,0.50,0.79
136,0.55,0.62
144,0.58,0.62
152,0.62,0.52
160,0.66,0.41
168,0.70,0.33
176,0.74,0.27
184,0.79,0.18
192,0.84,0.18
200,0.89,0.14
208,0.93,0.10
216,0.98,0.08
224,1.04,0.06
232,1.08,0.05
240,1.17,0.04
248,1.23,0.04
255,1.29,0.04
