input,negative_density,print_density
0,0.07,2
8,0.11,1.98
16,0.13,1.9
24,0.16,1.96
32,0.19,1.92
40,0.22,1.87
48,0.24,1.77
56,0.27,1.76
64,0.3,1.71
72,0.32,1.68
80,0.35,1.63
88,0.38,1.58
96,0.4,1.56
104,0.43,1.54
112,0.46,1.51
120,0.49,1.48
128,0.52,1.44
136,0.55,1.4
144,0.57,1.43
152,0.61,1.38
160,0.65,1.36
168,0.68,1.32
176,0.74,1.25
184,0.78,1.23
192,0.84,1.21
200,0.92,1.15
208,1.01,1.14
216,1.01,1.12
224,1.22,1.09
232,1.33,1.08
240,1.44,1.08
248,1.59,1.08
255,1.76,1.08
