input,negative_density,print_density
0,0.07 ,2.08 
8,0.10 ,2.07 
16,0.11 ,2.02 
24,0.14 ,2.02 
32,0.16 ,1.97 
40,0.18 ,1.95 
48,0.20 ,1.94 
56,0.22 ,1.93 
64,0.24 ,1.88 
72,0.26 ,1.86 
80,0.29 ,1.84 
88,0.31 ,1.77 
96,0.33 ,1.75 
104,0.35 ,1.74 
112,0.37 ,1.69 
120,0.39 ,1.67 
128,0.41 ,1.64 
136,0.44 ,1.63 
144,0.46 ,1.60 
152,0.48 ,1.56 
160,0.51 ,1.50 
168,0.53 ,1.47 
176,0.57 ,1.45 
184,0.61 ,1.39 
192,0.66 ,1.35 
200,0.72 ,1.30 
208,0.78 ,1.25 
216,0.84 ,1.21 
224,0.92 ,1.17 
232,1.00 ,1.13 
240,1.10 ,1.12 
248,1.21 ,1.09 
255,1.34 ,1.06 
