Input,K,GY,LGY,Total,K_percent,GY_percent,LGY_percent
0,0,0,0,0,0.00,0.00,0.00
1,50,175,20,245,20.41,71.43,8.16
2,100,350,40,490,20.41,71.43,8.16
3,150,525,60,735,20.41,71.43,8.16
4,200,700,80,980,20.41,71.43,8.16
5,250,875,100,1225,20.41,71.43,8.16
6,300,1050,120,1470,20.41,71.43,8.16
7,350,1225,140,1715,20.41,71.43,8.16
8,400,1400,160,1960,20.41,71.43,8.16
9,450,1575,180,2205,20.41,71.43,8.16
10,500,1750,200,2450,20.41,71.43,8.16
11,550,1925,220,2695,20.41,71.43,8.16
12,600,2100,240,2940,20.41,71.43,8.16
13,650,2275,260,3185,20.41,71.43,8.16
14,700,2450,280,3430,20.41,71.43,8.16
15,750,2625,300,3675,20.41,71.43,8.16
16,800,2800,320,3920,20.41,71.43,8.16
17,850,2975,340,4165,20.41,71.43,8.16
18,900,3150,360,4410,20.41,71.43,8.16
19,950,3325,380,4655,20.41,71.43,8.16
20,1000,3500,400,4900,20.41,71.43,8.16
21,1050,3675,420,5145,20.41,71.43,8.16
22,1100,3850,440,5390,20.41,71.43,8.16
23,1150,4025,460,5635,20.41,71.43,8.16
24,1200,4200,480,5880,20.41,71.43,8.16
25,1250,4315,500,6065,20.61,71.15,8.24
26,1300,4430,520,6250,20.80,70.88,8.32
27,1350,4545,540,6435,20.98,70.63,8.39
28,1400,4660,560,6620,21.15,70.39,8.46
29,1450,4775,580,6805,21.31,70.17,8.52
30,1500,4890,600,6990,21.46,69.96,8.58
31,1550,5005,620,7175,21.60,69.76,8.64
32,1600,5120,640,7360,21.74,69.57,8.70
33,1650,5235,660,7545,21.87,69.38,8.75
34,1700,5350,680,7730,21.99,69.21,8.80
35,1750,5465,700,7915,22.11,69.05,8.84
36,1800,5580,720,8100,22.22,68.89,8.89
37,1850,5695,740,8285,22.33,68.74,8.93
38,1900,5810,760,8470,22.43,68.60,8.97
39,1950,5925,780,8655,22.53,68.46,9.01
40,2000,6040,800,8840,22.62,68.33,9.05
41,2050,6155,820,9025,22.71,68.20,9.09
42,2100,6270,840,9210,22.80,68.08,9.12
43,2150,6385,860,9395,22.88,67.96,9.15
44,2200,6500,880,9580,22.96,67.85,9.19
45,2250,6615,900,9765,23.04,67.74,9.22
46,2300,6730,920,9950,23.12,67.64,9.25
47,2350,6845,940,10135,23.19,67.54,9.27
48,2400,6960,960,10320,23.26,67.44,9.30
49,2450,7075,980,10505,23.32,67.35,9.33
50,2500,7190,1000,10690,23.39,67.26,9.35
51,2550,7305,1020,10875,23.45,67.17,9.38
52,2600,7420,1040,11060,23.51,67.09,9.40
53,2650,7535,1060,11245,23.57,67.01,9.43
54,2700,7650,1080,11430,23.62,66.93,9.45
55,2750,7765,1100,11615,23.68,66.85,9.47
56,2800,7880,1120,11800,23.73,66.78,9.49
57,2850,7995,1140,11985,23.78,66.71,9.51
58,2900,8110,1160,12170,23.83,66.64,9.53
59,2950,8225,1180,12355,23.88,66.57,9.55
60,3000,8340,1200,12540,23.92,66.51,9.57
61,3050,8455,1220,12725,23.97,66.44,9.59
62,3100,8570,1240,12910,24.01,66.38,9.60
63,3150,8685,1260,13095,24.05,66.32,9.62
64,3200,8800,1280,13280,24.10,66.27,9.64
65,3250,8915,1300,13465,24.14,66.21,9.65
66,3300,9030,1320,13650,24.18,66.15,9.67
67,3350,9145,1340,13835,24.21,66.10,9.69
68,3400,9260,1360,14020,24.25,66.05,9.70
69,3450,9375,1380,14205,24.29,66.00,9.71
70,3500,9490,1400,14390,24.32,65.95,9.73
71,3550,9605,1420,14575,24.36,65.90,9.74
72,3600,9720,1440,14760,24.39,65.85,9.76
73,3650,9835,1460,14945,24.42,65.81,9.77
74,3700,9950,1480,15130,24.45,65.76,9.78
75,3750,10065,1500,15315,24.49,65.72,9.79
76,3800,10180,1520,15500,24.52,65.68,9.81
77,3850,10295,1540,15685,24.55,65.64,9.82
78,3900,10410,1560,15870,24.57,65.60,9.83
79,3950,10525,1580,16055,24.60,65.56,9.84
80,4000,10640,1600,16240,24.63,65.52,9.85
81,4050,10755,1620,16425,24.66,65.48,9.86
82,4100,10870,1640,16610,24.68,65.44,9.87
83,4150,10985,1660,16795,24.71,65.41,9.88
84,4200,11100,1680,16980,24.73,65.37,9.89
85,4250,11215,1700,17165,24.76,65.34,9.90
86,4300,11330,1720,17350,24.78,65.30,9.91
87,4350,11445,1740,17535,24.81,65.27,9.92
88,4400,11560,1760,17720,24.83,65.24,9.93
89,4450,11675,1780,17905,24.85,65.21,9.94
90,4500,11790,1800,18090,24.88,65.17,9.95
91,4550,11905,1820,18275,24.90,65.14,9.96
92,4600,12020,1840,18460,24.92,65.11,9.97
93,4650,12135,1860,18645,24.94,65.08,9.98
94,4700,12250,1880,18830,24.96,65.06,9.98
95,4750,12365,1900,19015,24.98,65.03,9.99
96,4800,12480,1920,19200,25.00,65.00,10.00
97,4850,12595,1940,19385,25.02,64.97,10.01
98,4900,12710,1960,19570,25.04,64.95,10.02
99,4950,12825,1980,19755,25.06,64.92,10.02
100,5000,12940,2000,19940,25.08,64.89,10.03
101,5050,13055,2020,20125,25.09,64.87,10.04
102,5100,13170,2040,20310,25.11,64.84,10.04
103,5150,13285,2060,20495,25.13,64.82,10.05
104,5200,13400,2080,20680,25.15,64.80,10.06
105,5250,13515,2100,20865,25.16,64.77,10.06
106,5300,13630,2120,21050,25.18,64.75,10.07
107,5350,13745,2140,21235,25.19,64.73,10.08
108,5400,13860,2160,21420,25.21,64.71,10.08
109,5450,13975,2180,21605,25.23,64.68,10.09
110,5500,14090,2200,21790,25.24,64.66,10.10
111,5550,14205,2220,21975,25.26,64.64,10.10
112,5600,14320,2240,22160,25.27,64.62,10.11
113,5650,14435,2260,22345,25.29,64.60,10.11
114,5700,14550,2280,22530,25.30,64.58,10.12
115,5750,14665,2300,22715,25.31,64.56,10.13
116,5800,14780,2320,22900,25.33,64.54,10.13
117,5850,14895,2340,23085,25.34,64.52,10.14
118,5900,15010,2360,23270,25.35,64.50,10.14
119,5950,15125,2380,23455,25.37,64.49,10.15
120,6000,15240,2400,23640,25.38,64.47,10.15
121,6050,15355,2420,23825,25.39,64.45,10.16
122,6100,15470,2440,24010,25.41,64.43,10.16
123,6150,15585,2460,24195,25.42,64.41,10.17
124,6200,15700,2480,24380,25.43,64.40,10.17
125,6250,15815,2500,24565,25.44,64.38,10.18
126,6300,15930,2520,24750,25.45,64.36,10.18
127,6350,16045,2540,24935,25.47,64.35,10.19
128,6400,16160,2560,25120,25.48,64.33,10.19
129,6450,16275,2580,25305,25.49,64.32,10.20
130,6500,16390,2600,25490,25.50,64.30,10.20
131,6550,16505,2620,25675,25.51,64.28,10.20
132,6600,16620,2640,25860,25.52,64.27,10.21
133,6650,16735,2660,26045,25.53,64.25,10.21
134,6700,16850,2680,26230,25.54,64.24,10.22
135,6750,16965,2700,26415,25.55,64.22,10.22
136,6800,17080,2720,26600,25.56,64.21,10.23
137,6850,17195,2740,26785,25.57,64.20,10.23
138,6900,17310,2760,26970,25.58,64.18,10.23
139,6950,17425,2780,27155,25.59,64.17,10.24
140,7000,17540,2800,27340,25.60,64.16,10.24
141,7050,17655,2820,27525,25.61,64.14,10.25
142,7100,17770,2840,27710,25.62,64.13,10.25
143,7150,17885,2860,27895,25.63,64.12,10.25
144,7200,18000,2880,28080,25.64,64.10,10.26
145,7250,18115,2900,28265,25.65,64.09,10.26
146,7300,18230,2920,28450,25.66,64.08,10.26
147,7350,18345,2940,28635,25.67,64.06,10.27
148,7400,18460,2960,28820,25.68,64.05,10.27
149,7450,18575,2980,29005,25.69,64.04,10.27
150,7500,18690,3000,29190,25.69,64.03,10.28
151,7550,18805,3020,29375,25.70,64.02,10.28
152,7600,18920,3040,29560,25.71,64.01,10.28
153,7650,19035,3060,29745,25.72,63.99,10.29
154,7700,19150,3080,29930,25.73,63.98,10.29
155,7750,19265,3100,30115,25.73,63.97,10.29
156,7800,19380,3120,30300,25.74,63.96,10.30
157,7850,19495,3140,30485,25.75,63.95,10.30
158,7900,19610,3160,30670,25.76,63.94,10.30
159,7950,19725,3180,30855,25.77,63.93,10.31
160,8000,19840,3200,31040,25.77,63.92,10.31
161,8050,19955,3220,31225,25.78,63.91,10.31
162,8100,20070,3240,31410,25.79,63.90,10.32
163,8150,20185,3260,31595,25.80,63.89,10.32
164,8200,20300,3280,31780,25.80,63.88,10.32
165,8250,20415,3300,31965,25.81,63.87,10.32
