Input,K,GY,Total,K_percent,GY_percent,K_step_size
0,0,0,0,0.00,0.00,50/step
1,50,175,225,22.22,77.78,50/step
2,100,350,450,22.22,77.78,50/step
3,150,525,675,22.22,77.78,50/step
4,200,700,900,22.22,77.78,50/step
5,250,875,1125,22.22,77.78,50/step
6,300,1050,1350,22.22,77.78,50/step
7,350,1225,1575,22.22,77.78,50/step
8,400,1400,1800,22.22,77.78,50/step
9,450,1575,2025,22.22,77.78,50/step
10,500,1750,2250,22.22,77.78,50/step
11,550,1925,2475,22.22,77.78,50/step
12,600,2100,2700,22.22,77.78,50/step
13,650,2275,2925,22.22,77.78,50/step
14,700,2450,3150,22.22,77.78,50/step
15,750,2625,3375,22.22,77.78,50/step
16,800,2800,3600,22.22,77.78,50/step
17,850,2975,3825,22.22,77.78,50/step
18,900,3150,4050,22.22,77.78,50/step
19,950,3325,4275,22.22,77.78,50/step
20,1000,3500,4500,22.22,77.78,50/step
21,1050,3675,4725,22.22,77.78,50/step
22,1100,3850,4950,22.22,77.78,50/step
23,1150,4025,5175,22.22,77.78,50/step
24,1200,4200,5400,22.22,77.78,50/step
25,1250,4315,5565,22.46,77.54,50/step
26,1300,4430,5730,22.69,77.31,50/step
27,1350,4545,5895,22.90,77.10,50/step
28,1400,4660,6060,23.10,76.90,50/step
29,1450,4775,6225,23.29,76.71,50/step
30,1500,4890,6390,23.47,76.53,50/step
31,1550,5005,6555,23.65,76.35,50/step
32,1600,5120,6720,23.81,76.19,50/step
33,1650,5235,6885,23.97,76.03,50/step
34,1700,5350,7050,24.11,75.89,50/step
35,1750,5465,7215,24.26,75.74,50/step
36,1800,5580,7380,24.39,75.61,50/step
37,1850,5695,7545,24.52,75.48,50/step
38,1900,5810,7710,24.64,75.36,50/step
39,1950,5925,7875,24.76,75.24,50/step
40,2000,6040,8040,24.88,75.12,50/step
41,2050,6155,8205,24.98,75.02,50/step
42,2100,6270,8370,25.09,74.91,50/step
43,2150,6385,8535,25.19,74.81,50/step
44,2200,6500,8700,25.29,74.71,50/step
45,2250,6615,8865,25.38,74.62,50/step
46,2300,6730,9030,25.47,74.53,50/step
47,2350,6845,9195,25.56,74.44,50/step
48,2400,6960,9360,25.64,74.36,50/step
49,2450,7075,9525,25.72,74.28,50/step
50,2500,7190,9690,25.80,74.20,50/step
51,2550,7305,9855,25.88,74.12,50/step
52,2600,7420,10020,25.95,74.05,50/step
53,2650,7535,10185,26.02,73.98,50/step
54,2700,7650,10350,26.09,73.91,50/step
55,2750,7765,10515,26.15,73.85,50/step
56,2800,7880,10680,26.22,73.78,50/step
57,2850,7995,10845,26.28,73.72,50/step
58,2900,8110,11010,26.34,73.66,50/step
59,2950,8225,11175,26.40,73.60,50/step
60,3000,8340,11340,26.46,73.54,50/step
61,3050,8455,11505,26.51,73.49,50/step
62,3100,8570,11670,26.56,73.44,50/step
63,3150,8685,11835,26.62,73.38,50/step
64,3200,8800,12000,26.67,73.33,50/step
65,3250,8915,12165,26.72,73.28,50/step
66,3300,9030,12330,26.76,73.24,50/step
67,3350,9145,12495,26.81,73.19,50/step
68,3400,9260,12660,26.86,73.14,50/step
69,3450,9375,12825,26.90,73.10,50/step
70,3500,9490,12990,26.94,73.06,50/step
71,3550,9605,13155,26.99,73.01,50/step
72,3600,9720,13320,27.03,72.97,50/step
73,3650,9835,13485,27.07,72.93,50/step
74,3700,9950,13650,27.11,72.89,50/step
75,3750,10065,13815,27.14,72.86,50/step
76,3800,10180,13980,27.18,72.82,50/step
77,3850,10295,14145,27.22,72.78,50/step
78,3900,10410,14310,27.25,72.75,50/step
79,3950,10525,14475,27.29,72.71,50/step
80,4000,10640,14640,27.32,72.68,50/step
81,4050,10755,14805,27.36,72.64,50/step
82,4100,10870,14970,27.39,72.61,50/step
83,4150,10985,15135,27.42,72.58,50/step
84,4200,11100,15300,27.45,72.55,50/step
85,4250,11215,15465,27.48,72.52,50/step
86,4300,11330,15630,27.51,72.49,50/step
87,4350,11445,15795,27.54,72.46,50/step
88,4400,11560,15960,27.57,72.43,50/step
89,4450,11675,16125,27.60,72.40,50/step
90,4500,11790,16290,27.62,72.38,50/step
91,4550,11905,16455,27.65,72.35,50/step
92,4600,12020,16620,27.68,72.32,50/step
93,4650,12135,16785,27.70,72.30,50/step
94,4700,12250,16950,27.73,72.27,50/step
95,4750,12365,17115,27.75,72.25,50/step
96,4800,12480,17280,27.78,72.22,50/step
97,4850,12595,17445,27.80,72.20,50/step
98,4900,12710,17610,27.83,72.17,50/step
99,4950,12825,17775,27.85,72.15,50/step
100,5000,12940,17940,27.87,72.13,50/step
101,5050,13055,18105,27.89,72.11,50/step
102,5100,13170,18270,27.91,72.09,50/step
103,5150,13285,18435,27.94,72.06,50/step
104,5200,13400,18600,27.96,72.04,50/step
105,5250,13515,18765,27.98,72.02,50/step
106,5300,13630,18930,28.00,72.00,50/step
107,5350,13745,19095,28.02,71.98,50/step
108,5400,13860,19260,28.04,71.96,50/step
109,5450,13975,19425,28.06,71.94,50/step
110,5500,14090,19590,28.08,71.92,50/step
111,5550,14205,19755,28.09,71.91,50/step
112,5600,14320,19920,28.11,71.89,50/step
113,5650,14435,20085,28.13,71.87,50/step
114,5700,14550,20250,28.15,71.85,50/step
115,5750,14665,20415,28.17,71.83,50/step
116,5800,14780,20580,28.18,71.82,50/step
117,5850,14895,20745,28.20,71.80,50/step
118,5900,15010,20910,28.22,71.78,50/step
119,5950,15125,21075,28.23,71.77,50/step
120,6000,15240,21240,28.25,71.75,50/step
121,6050,15355,21405,28.26,71.74,50/step
122,6100,15470,21570,28.28,71.72,50/step
123,6150,15585,21735,28.30,71.70,50/step
124,6200,15700,21900,28.31,71.69,50/step
125,6250,15815,22065,28.33,71.67,50/step
126,6300,15930,22230,28.34,71.66,50/step
127,6350,16045,22395,28.35,71.65,50/step
128,6400,16160,22560,28.37,71.63,50/step
129,6450,16275,22725,28.38,71.62,50/step
130,6500,16390,22890,28.40,71.60,50/step
131,6550,16505,23055,28.41,71.59,50/step
132,6600,16620,23220,28.42,71.58,50/step
133,6650,16735,23385,28.44,71.56,50/step
134,6700,16850,23550,28.45,71.55,50/step
135,6750,16965,23715,28.46,71.54,50/step
136,6800,17080,23880,28.48,71.52,50/step
137,6850,17195,24045,28.49,71.51,50/step
138,6900,17310,24210,28.50,71.50,50/step
139,6950,17425,24375,28.51,71.49,50/step
140,7000,17540,24540,28.52,71.48,50/step
141,7050,17655,24705,28.54,71.46,50/step
142,7100,17770,24870,28.55,71.45,50/step
143,7150,17885,25035,28.56,71.44,50/step
144,7200,18000,25200,28.57,71.43,50/step
145,7250,18115,25365,28.58,71.42,50/step
146,7300,18230,25530,28.59,71.41,50/step
147,7350,18345,25695,28.60,71.40,50/step
148,7400,18460,25860,28.62,71.38,50/step
149,7450,18575,26025,28.63,71.37,50/step
150,7500,18690,26190,28.64,71.36,50/step
151,7550,18805,26355,28.65,71.35,50/step
152,7600,18920,26520,28.66,71.34,50/step
153,7650,19035,26685,28.67,71.33,50/step
154,7700,19150,26850,28.68,71.32,50/step
155,7750,19265,27015,28.69,71.31,50/step
156,7800,19380,27180,28.70,71.30,50/step
157,7850,19495,27345,28.71,71.29,50/step
158,7900,19610,27510,28.72,71.28,50/step
159,7950,19725,27675,28.73,71.27,50/step
160,8000,19840,27840,28.74,71.26,50/step
161,8050,19955,28005,28.74,71.26,50/step
162,8100,20070,28170,28.75,71.25,50/step
163,8150,20185,28335,28.76,71.24,50/step
164,8200,20300,28500,28.77,71.23,50/step
165,8250,20415,28665,28.78,71.22,50/step
166,8300,20530,28830,28.79,71.21,50/step
167,8350,20645,28995,28.80,71.20,50/step
168,8400,20760,29160,28.81,71.19,50/step
169,8450,20875,29325,28.82,71.18,50/step
170,8500,20990,29490,28.82,71.18,50/step
171,8550,21105,29655,28.83,71.17,50/step
172,8600,21220,29820,28.84,71.16,50/step
173,8650,21335,29985,28.85,71.15,50/step
174,8700,21450,30150,28.86,71.14,50/step
175,8750,21565,30315,28.86,71.14,50/step
176,8800,21680,30480,28.87,71.13,50/step
177,8850,21795,30645,28.88,71.12,50/step
178,8900,21910,30810,28.89,71.11,50/step
179,8950,22025,30975,28.89,71.11,50/step
180,9000,22140,31140,28.90,71.10,50/step
181,9050,22255,31305,28.91,71.09,50/step
182,9100,22370,31470,28.92,71.08,50/step
183,9150,22485,31635,28.92,71.08,50/step
184,9200,22600,31800,28.93,71.07,50/step
185,9250,22715,31965,28.94,71.06,50/step
186,9300,22830,32130,28.94,71.06,50/step
187,9350,22945,32295,28.95,71.05,50/step
188,9400,23060,32460,28.96,71.04,50/step
189,9450,23175,32625,28.97,71.03,50/step
190,9500,23290,32790,28.97,71.03,50/step
191,9550,23405,32955,28.98,71.02,50/step
192,9600,23520,33120,28.99,71.01,50/step
193,9650,23635,33285,28.99,71.01,50/step
194,9700,23750,33450,29.00,71.00,50/step
195,9750,23865,33615,29.00,71.00,50/step
196,9800,23980,33780,29.01,70.99,50/step
197,9850,24095,33945,29.02,70.98,50/step
198,9900,24210,34110,29.02,70.98,50/step
199,9950,24325,34275,29.03,70.97,50/step
200,10000,24440,34440,29.04,70.96,50/step
201,10050,24555,34605,29.04,70.96,50/step
202,10100,24670,34770,29.05,70.95,50/step
203,10150,24785,34935,29.05,70.95,50/step
204,10200,24900,35100,29.06,70.94,50/step
205,10250,25015,35265,29.07,70.93,50/step
206,10300,25130,35430,29.07,70.93,50/step
207,10350,25245,35595,29.08,70.92,50/step
208,10400,25360,35760,29.08,70.92,50/step
209,10450,25475,35925,29.09,70.91,50/step
210,10500,25590,36090,29.09,70.91,50/step
211,10550,25705,36255,29.10,70.90,50/step
212,10600,25820,36420,29.10,70.90,50/step
213,10650,25935,36585,29.11,70.89,50/step
214,10700,26050,36750,29.12,70.88,50/step
215,10750,26165,36915,29.12,70.88,50/step
216,10800,26280,37080,29.13,70.87,50/step
217,10850,26395,37245,29.13,70.87,50/step
218,10900,26510,37410,29.14,70.86,50/step
219,10950,26625,37575,29.14,70.86,50/step
220,11000,26740,37740,29.15,70.85,50/step
221,11050,26855,37905,29.15,70.85,50/step
222,11100,26970,38070,29.16,70.84,50/step
223,11150,27085,38235,29.16,70.84,50/step
224,11200,27200,38400,29.17,70.83,50/step
225,11250,27315,38565,29.17,70.83,50/step
226,11300,27430,38730,29.18,70.82,50/step
227,11350,27545,38895,29.18,70.82,50/step
228,11400,27660,39060,29.19,70.81,50/step
229,11450,27775,39225,29.19,70.81,50/step
230,11500,27890,39390,29.20,70.80,50/step
231,11550,28005,39555,29.20,70.80,50/step
232,11600,28120,39720,29.20,70.80,50/step
233,11650,28235,39885,29.21,70.79,50/step
234,11700,28350,40050,29.21,70.79,50/step
235,11750,28465,40215,29.22,70.78,50/step
236,11800,28580,40380,29.22,70.78,50/step
237,11850,28695,40545,29.23,70.77,50/step
238,11900,28810,40710,29.23,70.77,50/step
239,11950,28925,40875,29.24,70.76,50/step
240,12000,29040,41040,29.24,70.76,50/step
241,12050,29340,41390,29.11,70.89,50/step
242,12100,29640,41740,28.99,71.01,50/step
243,12150,29940,42090,28.87,71.13,50/step
244,12200,30240,42440,28.75,71.25,50/step
245,12250,30540,42790,28.63,71.37,50/step
246,12300,30840,43140,28.51,71.49,50/step
247,12350,31140,43490,28.40,71.60,50/step
248,12400,31440,43840,28.28,71.72,50/step
249,12450,31740,44190,28.17,71.83,50/step
250,12500,32040,44540,28.06,71.94,50/step
251,12550,32340,44890,27.96,72.04,50/step
252,12600,32640,45240,27.85,72.15,50/step
253,12650,32940,45590,27.75,72.25,50/step
254,12700,33240,45940,27.64,72.36,50/step
255,40000,0,40000,100.00,0.00,40000
