input,negative_density,print_density
0,0.07 ,2.17 
8,0.11 ,2.09 
16,0.15 ,1.97 
24,0.19 ,1.90 
32,0.22 ,1.86 
40,0.25 ,1.80 
48,0.29 ,1.81 
56,0.32 ,1.76 
64,0.35 ,1.68 
72,0.38 ,1.63 
80,0.42 ,1.54 
88,0.45 ,1.50 
96,0.49 ,1.51 
104,0.53 ,1.46 
112,0.57 ,1.43 
120,0.61 ,1.37 
128,0.64 ,1.31 
136,0.68 ,1.30 
144,0.73 ,1.26 
152,0.77 ,1.23 
160,0.82 ,1.19 
168,0.87 ,1.17 
176,0.93 ,1.14 
184,0.98 ,1.11 
192,1.08 ,1.09 
200,1.15 ,1.08 
208,1.22 ,1.08 
216,1.27 ,1.08 
224,1.32 ,1.08 
232,1.35 ,1.08 
240,1.38 ,1.08 
248,1.37 ,1.08 
255,1.34 ,1.08 
