Input,K,GY (2%),LGY (2%),Total,Total %
0,0,0,0,0,100.00
8,960,19,19,998,103.96
16,1920,38,38,1996,103.96
24,2880,58,58,2996,104.03
32,3864,77,77,4018,103.99
40,4864,97,97,5058,103.99
48,5864,117,117,6098,103.99
56,6864,137,137,7138,103.99
64,7864,157,157,8178,103.99
72,8864,177,177,9218,103.99
80,9864,197,197,10258,103.99
88,10864,217,217,11298,103.99
96,11864,237,237,12338,104.00
104,12864,257,257,13378,104.00
112,13864,277,277,14418,104.00
120,14864,297,297,15458,104.00
128,15864,317,317,16498,104.00
136,16864,337,337,17538,104.00
144,17864,357,357,18578,104.00
152,18864,377,377,19618,104.00
160,19864,397,397,20658,104.00
168,20864,417,417,21698,104.00
176,21864,437,437,22738,104.00
184,22864,457,457,23778,104.00
192,23864,477,477,24818,104.00
200,24864,497,497,25858,104.00
208,25816,516,516,26848,104.00
216,26712,534,534,27780,104.00
224,27544,551,551,28646,104.00
232,28304,566,566,29436,104.00
240,29064,581,581,30226,104.00
248,29752,595,595,30942,104.00
