Input,K_v19,K_v18,K_diff,Predicted_Density,Target_Density,Predicted_Error
0,0,0,0,1.360,1.38,-0.020
8,2400,2400,0,1.340,1.36,-0.020
16,3372,3372,0,1.310,1.34,-0.030
24,4864,4864,0,1.290,1.32,-0.030
32,5264,5264,0,1.260,1.30,-0.040
40,6197,6197,0,1.240,1.26,-0.020
48,7331,7531,-200,1.189,1.22,-0.031
56,8631,9031,-400,1.114,1.17,-0.056
64,9864,9864,0,1.060,1.12,-0.060
72,10864,10864,0,1.000,1.07,-0.070
80,11364,11364,0,0.960,1.02,-0.060
88,11864,11864,0,0.940,0.97,-0.030
96,12489,12489,0,0.900,0.92,-0.020
104,13364,13364,0,0.860,0.87,-0.010
112,14493,14293,200,0.777,0.82,-0.043
120,15007,15007,0,0.770,0.77,+0.000
128,15871,15721,150,0.679,0.72,-0.041
136,16435,16435,0,0.640,0.67,-0.030
144,17086,17086,0,0.600,0.62,-0.020
152,17642,17642,0,0.570,0.57,+0.000
160,18614,18614,0,0.530,0.52,+0.010
168,19364,19664,-300,0.466,0.47,-0.004
176,20531,20531,0,0.410,0.42,-0.010
184,21364,21364,0,0.370,0.37,+0.000
192,22131,22531,-400,0.324,0.32,+0.004
200,23364,23364,0,0.280,0.28,+0.000
208,23864,23864,0,0.270,0.25,+0.020
216,24864,24864,0,0.230,0.23,+0.000
224,25499,25499,0,0.200,0.21,-0.010
232,26264,26264,0,0.180,0.19,-0.010
240,27128,27128,0,0.150,0.17,-0.020
248,28304,28304,0,0.130,0.15,-0.020
255,29252,29752,-500,0.104,0.13,-0.026
