Input,K,Density_measured,Target_Density_v2,Density_diff
0,0,1.41,1.36,+0.05
8,2400,1.38,1.34,-0.04
16,3048,1.37,1.32,-0.05
24,4118,1.33,1.30,-0.03
32,5131,1.31,1.27,-0.04
40,6197,1.27,1.24,-0.03
48,7086,1.20,1.20,0.00
56,7864,1.15,1.16,+0.01
64,8698,1.09,1.11,+0.02
72,9864,1.05,1.06,+0.01
80,10697,1.03,1.01,-0.02
88,11364,0.99,0.96,-0.03
96,12333,0.91,0.91,0.00
104,13364,0.86,0.86,0.00
112,13945,0.83,0.81,-0.02
120,15096,0.77,0.76,-0.01
128,15542,0.75,0.71,-0.04
136,16149,0.69,0.66,-0.03
144,16923,0.64,0.61,-0.03
152,17885,0.63,0.56,-0.07
160,18847,0.56,0.51,-0.05
168,19431,0.49,0.46,-0.03
176,20531,0.45,0.41,-0.04
184,21531,0.42,0.36,-0.06
192,22198,0.35,0.32,-0.03
200,23364,0.33,0.28,-0.05
208,24614,0.32,0.24,-0.08
216,25287,0.32,0.21,-0.11
224,26264,0.25,0.18,-0.07
232,27128,0.24,0.15,-0.09
240,28304,0.20,0.13,-0.07
248,29028,0.19,0.11,-0.08
255,29752,0.15,0.09,-0.06
