Input,K_v20,Predicted_Density,Target_Density_v2,Predicted_Error
0,0,1.360,1.36,+0.000
8,2400,1.340,1.34,+0.000
16,3048,1.320,1.32,+0.000
24,4118,1.300,1.30,+0.000
32,5131,1.270,1.27,-0.000
40,6197,1.240,1.24,+0.000
48,7086,1.200,1.20,+0.000
56,7864,1.160,1.16,+0.000
64,8698,1.110,1.11,-0.000
72,9864,1.060,1.06,+0.000
80,10697,1.010,1.01,+0.000
88,11364,0.960,0.96,+0.000
96,12333,0.910,0.91,-0.000
104,13364,0.860,0.86,+0.000
112,13945,0.810,0.81,-0.000
120,15096,0.760,0.76,+0.000
128,15542,0.710,0.71,+0.000
136,16149,0.660,0.66,+0.000
144,16923,0.610,0.61,+0.000
152,17885,0.560,0.56,-0.000
160,18847,0.510,0.51,+0.000
168,19431,0.460,0.46,-0.000
176,20531,0.410,0.41,+0.000
184,21531,0.360,0.36,-0.000
192,22198,0.320,0.32,-0.000
200,23364,0.280,0.28,+0.000
208,24614,0.240,0.24,+0.000
216,25287,0.210,0.21,+0.000
224,26264,0.180,0.18,+0.000
232,27128,0.150,0.15,+0.000
240,28304,0.130,0.13,+0.000
248,29028,0.110,0.11,+0.000
255,29752,0.090,0.09,+0.000
