Input,V24_K,V20_K,Diff,Note
0,0,0,0,v20と同一
1,496,496,0,v20と同一
2,925,925,0,v20と同一
3,1292,1292,0,v20と同一
4,1602,1602,0,v20と同一
5,1863,1863,0,v20と同一
6,2079,2079,0,v20と同一
7,2256,2256,0,v20と同一
8,2400,2400,0,v20と同一
9,2517,2517,0,v20と同一
10,2612,2612,0,v20と同一
11,2691,2691,0,v20と同一
12,2760,2760,0,v20と同一
13,2824,2824,0,v20と同一
14,2890,2890,0,v20と同一
15,2962,2962,0,v20と同一
16,3048,3048,0,v20と同一
17,3151,3151,0,v20と同一
18,3268,3268,0,v20と同一
19,3398,3398,0,v20と同一
20,3537,3537,0,v20と同一
21,3682,3682,0,v20と同一
22,3829,3829,0,v20と同一
23,3975,3975,0,v20と同一
24,4118,4118,0,v20と同一
25,4254,4254,0,v20と同一
26,4385,4385,0,v20と同一
27,4512,4512,0,v20と同一
28,4636,4636,0,v20と同一
29,4758,4758,0,v20と同一
30,4880,4880,0,v20と同一
31,5004,5004,0,v20と同一
32,5131,5131,0,v20と同一
33,5261,5261,0,v20と同一
34,5395,5395,0,v20と同一
35,5531,5531,0,v20と同一
36,5667,5667,0,v20と同一
37,5803,5803,0,v20と同一
38,5937,5937,0,v20と同一
39,6069,6069,0,v20と同一
40,6197,6197,0,v20と同一
41,6320,6320,0,v20と同一
42,6439,6439,0,v20と同一
43,6554,6554,0,v20と同一
44,6666,6666,0,v20と同一
45,6774,6774,0,v20と同一
46,6880,6880,0,v20と同一
47,6984,6984,0,v20と同一
48,7086,7086,0,v20と同一
49,7187,7187,0,v20と同一
50,7287,7287,0,v20と同一
51,7386,7386,0,v20と同一
52,7484,7484,0,v20と同一
53,7580,7580,0,v20と同一
54,7676,7676,0,v20と同一
55,7770,7770,0,v20と同一
56,7864,7864,0,v20と同一
57,7957,7957,0,v20と同一
58,8050,8050,0,v20と同一
59,8145,8145,0,v20と同一
60,8243,8243,0,v20と同一
61,8346,8346,0,v20と同一
62,8456,8456,0,v20と同一
63,8572,8572,0,v20と同一
64,8698,8698,0,v20と同一
65,8834,8834,0,v20と同一
66,8977,8977,0,v20と同一
67,9126,9126,0,v20と同一
68,9278,9278,0,v20と同一
69,9430,9430,0,v20と同一
70,9580,9580,0,v20と同一
71,9726,9726,0,v20と同一
72,9864,9864,0,v20と同一
73,9993,9993,0,v20と同一
74,10114,10114,0,v20と同一
75,10226,10226,0,v20と同一
76,10332,10332,0,v20と同一
77,10431,10431,0,v20と同一
78,10524,10524,0,v20と同一
79,10612,10612,0,v20と同一
80,10697,10697,0,v20と同一
81,10778,10778,0,v20と同一
82,10858,10858,0,v20と同一
83,10937,10937,0,v20と同一
84,11016,11016,0,v20と同一
85,11097,11097,0,v20と同一
86,11181,11181,0,v20と同一
87,11270,11270,0,v20と同一
88,11364,11364,0,v20と同一
89,11465,11465,0,v20と同一
90,11572,11572,0,v20と同一
91,11685,11685,0,v20と同一
92,11805,11805,0,v20と同一
93,11929,11929,0,v20と同一
94,12059,12059,0,v20と同一
95,12194,12194,0,v20と同一
96,12333,12333,0,v20と同一
97,12476,12476,0,v20と同一
98,12620,12620,0,v20と同一
99,12763,12763,0,v20と同一
100,12902,12902,0,v20と同一
101,13035,13035,0,v20と同一
102,13157,13157,0,v20と同一
103,13268,13268,0,v20と同一
104,13364,13364,0,v20と同一
105,13444,13444,0,v20と同一
106,13511,13511,0,v20と同一
107,13571,13571,0,v20と同一
108,13629,13629,0,v20と同一
109,13690,13690,0,v20と同一
110,13760,13760,0,v20と同一
111,13843,13843,0,v20と同一
112,13945,13945,0,v20と同一
113,14069,14069,0,v20と同一
114,14211,14211,0,v20と同一
115,14365,14365,0,v20と同一
116,14524,14524,0,v20と同一
117,14683,14683,0,v20と同一
118,14836,14836,0,v20と同一
119,14975,14975,0,v20と同一
120,15096,15096,0,v20と同一
121,15193,15193,0,v20と同一
122,15270,15270,0,v20と同一
123,15331,15331,0,v20と同一
124,15379,15379,0,v20と同一
125,15420,15420,0,v20と同一
126,15458,15458,0,v20と同一
127,15497,15497,0,v20と同一
128,15542,15542,0,v20と同一
129,15596,15596,0,v20と同一
130,15658,15658,0,v20と同一
131,15728,15728,0,v20と同一
132,15804,15804,0,v20と同一
133,15885,15885,0,v20と同一
134,15971,15971,0,v20と同一
135,16059,16059,0,v20と同一
136,16149,16149,0,v20と同一
137,16240,16240,0,v20と同一
138,16332,16332,0,v20と同一
139,16425,16425,0,v20と同一
140,16519,16519,0,v20と同一
141,16616,16616,0,v20と同一
142,16715,16715,0,v20と同一
143,16818,16818,0,v20と同一
144,16923,16923,0,v20と同一
145,17032,17032,0,v20と同一
146,17144,17144,0,v20と同一
147,17260,17260,0,v20と同一
148,17379,17379,0,v20と同一
149,17502,17502,0,v20と同一
150,17627,17627,0,v20と同一
151,17755,17755,0,v20と同一
152,17885,17885,0,v20と同一
153,18018,18018,0,v20と同一
154,18151,18151,0,v20と同一
155,18282,18282,0,v20と同一
156,18410,18410,0,v20と同一
157,18533,18533,0,v20と同一
158,18648,18648,0,v20と同一
159,18753,18753,0,v20と同一
160,18847,18847,0,v20と同一
161,18928,18928,0,v20と同一
162,18999,18999,0,v20と同一
163,19065,19065,0,v20と同一
164,19128,19128,0,v20と同一
165,19192,19192,0,v20と同一
166,19261,19261,0,v20と同一
167,19340,19340,0,v20と同一
