Input,K,Density_measured,ÉvÉäÉìÉgîZìx,Density_diff,Notes
0,0,,1.44,0.03,
8,2520,,1.38,0.04,
16,2960,,1.36,0.02,
24,3400,,1.34,0.03,
32,4060,,1.31,0.03,
40,4940,,1.28,0.04,
48,5820,,1.29,0.04,
56,6700,,1.25,0.05,
64,7580,,1.21,0.05,
72,8680,,1.12,0.05,
80,9780,,1.05,0.05,
88,10880,,0.95,0.05,
96,11980,,0.91,0.05,
104,13080,,0.84,0.05,
112,14180,,0.78,0.05,
120,15280,,0.68,0.05,
128,16380,,0.59,0.05,
136,17480,,0.55,0.05,
144,18580,,0.49,0.05,
152,19680,,0.45,0.05,
160,20780,,0.4,0.05,
168,21880,,0.35,0.05,
176,22980,,0.31,0.05,
184,24080,,0.27,0.04,
192,25180,,0.24,0.04,
200,26280,,0.21,0.04,
208,27160,,0.19,0.03,
216,27820,,0.18,0.03,
224,28480,,0.16,0.03,
232,29140,,0.15,0.02,
240,29580,,0.15,0.02,
248,30020,,0.14,0.02,Á¥ôÁôΩË£úÊ≠£ÈñãÂßãÁÇπ
249,30517,,,,
250,31014,,,,
251,31511,,,,
252,32009,,,,
253,32506,,,,
254,33003,,,,
255,33500,,0.11,,Á¥ôÁôΩÂà∞ÈÅîÁõÆÊ®
,,,0.09,,
