Input,K,Density_measured,Target_Density_v3,Density_diff_measured,Notes
0,0,,1.41,0,
8,2520,,1.38,0.03,
16,2960,,1.32,0.06,
24,3400,,1.29,0.03,
32,4060,,1.26,0.03,
40,4940,,1.22,0.04,
48,5820,,1.18,0.04,
56,6700,,1.13,0.05,
64,7580,,1.08,0.05,
72,8680,,1.03,0.05,
80,9780,,0.98,0.05,
88,10880,,0.93,0.05,
96,11980,,0.88,0.05,
104,12960,,0.83,0.05,
112,13940,,0.78,0.05,
120,14920,,0.73,0.05,
128,16380,,0.68,0.05,
136,17180,,0.63,0.05,
144,18480,,0.58,0.05,
152,19780,,0.53,0.05,
160,20780,,0.48,0.05,
168,21780,,0.43,0.05,
176,22780,,0.38,0.05,
184,23780,,0.34,0.04,
192,25180,,0.30,0.04,
200,26180,,0.26,0.04,
208,27180,,0.23,0.03,
216,27820,,0.20,0.03,
224,28480,,0.17,0.03,
232,29140,,0.15,0.02,
240,29580,,0.13,0.02,
248,30020,,0.11,0.02,紙白補正領域
255,40000,,0.09,,紙白到達目標（v26=33500から+19.4%増）
