input,k_value,negative_density（実測）,print_density,,negative_density（理論）
0,0,,,,0.08
8,1171,,,,0.11
16,2341,,,,0.14
24,3512,,,,0.16
32,4682,,,,0.18
40,5853,,,,0.21
48,7024,,,,0.24
56,8194,,,,0.26
64,9365,,,,0.28
72,10535,,,,0.31
80,11706,,,,0.33
88,12876,,,,0.37
96,13637,,,,0.4
104,15218,,,,0.43
112,16388,,,,0.45
120,17559,,,,0.48
128,18729,,,,0.52
136,19900,,,,0.55
144,21071,,,,0.59
152,22241,,,,0.62
160,23411,,,,0.65
168,24582,,,,0.69
176,25753,,,,0.73
184,26923,,,,0.78
192,28094,,,,0.81
200,29264,,,,0.85
208,30435,,,,0.89
216,31606,,,,0.94
224,32776,,,,0.99
232,33947,,,,1.05
240,35117,,,,1.05
248,36288,,,,1.08
255,37312,,,,1.2
