input_value,v12_k,v13_MT_R1_k,k_diff,k_diff_percent
0,0,0,0,0.0
8,1383,1383,0,0.0
16,2765,2765,0,0.0
24,4148,4148,0,0.0
32,5087,5028,-59,-1.16
40,6026,5908,-118,-1.96
48,6965,6788,-177,-2.54
56,7904,7668,-236,-2.99
64,8843,8548,-295,-3.34
72,9782,9428,-354,-3.62
80,10721,10308,-413,-3.85
88,11660,11188,-472,-4.05
96,12599,12068,-531,-4.21
104,13538,12948,-590,-4.36
112,14477,13828,-649,-4.48
120,15416,14708,-708,-4.59
128,16355,15588,-767,-4.69
136,17293,16468,-825,-4.77
144,18232,17348,-884,-4.85
152,19171,18228,-943,-4.92
160,20110,19108,-1002,-4.98
168,21049,19988,-1061,-5.04
176,21988,20868,-1120,-5.09
184,22927,21748,-1179,-5.14
192,23866,22628,-1238,-5.19
200,24805,23508,-1297,-5.23
208,25744,24388,-1356,-5.27
216,26683,25268,-1415,-5.3
224,27622,26148,-1474,-5.34
232,28561,28000,-561,-1.96
240,29500,29500,0,0.0
248,31793,31793,0,0.0
