input_value,v12_k,v13_NA_k,v13_MT_k,v12_v13_NA_diff,v12_v13_MT_diff
0,0,0,0,0,0
8,1383,1383,1383,0,0
16,2765,2765,2765,0,0
24,4148,4148,4148,0,0
32,5087,5087,5028,0,-59
40,6026,6026,5908,0,-118
48,6965,6965,6788,0,-177
56,7904,7904,7668,0,-236
64,8843,8843,8548,0,-295
72,9782,9782,9428,0,-354
80,10721,10721,10308,0,-413
88,11660,11660,11188,0,-472
96,12599,12599,12068,0,-531
104,13538,13538,12948,0,-590
112,14477,14477,13828,0,-649
120,15416,15416,14708,0,-708
128,16355,16355,15588,0,-767
136,17293,17293,16468,0,-825
144,18232,18232,17348,0,-884
152,19171,19171,18228,0,-943
160,20110,20110,19108,0,-1002
168,21049,21049,19988,0,-1061
176,21988,21988,20868,0,-1120
184,22927,22927,21748,0,-1179
192,23866,23866,22628,0,-1238
200,24805,24805,23508,0,-1297
208,25744,25744,24388,0,-1356
216,26683,26683,25268,0,-1415
224,27622,27622,26148,0,-1474
232,28561,28561,27028,0,-1533
240,29500,29500,27908,0,-1592
248,31793,31394,30284,-399,-1509
