input_value,v12_k,v14_k,k_diff,k_diff_percent
0,0,0,0,0.0
8,1383,1383,0,0.0
16,2765,2765,0,0.0
24,4148,4148,0,0.0
32,5087,5068,-19,-0.37
40,6026,5988,-38,-0.63
48,6965,6908,-57,-0.82
56,7904,7828,-76,-0.96
64,8843,8748,-95,-1.07
72,9782,9668,-114,-1.17
80,10721,10588,-133,-1.24
88,11660,11508,-152,-1.3
96,12599,12428,-171,-1.36
104,13538,13348,-190,-1.4
112,14477,14268,-209,-1.44
120,15416,15188,-228,-1.48
128,16355,16108,-247,-1.51
136,17293,17028,-265,-1.53
144,18232,17948,-284,-1.56
152,19171,18868,-303,-1.58
160,20110,19788,-322,-1.6
168,21049,20708,-341,-1.62
176,21988,21628,-360,-1.64
184,22927,22548,-379,-1.65
192,23866,23468,-398,-1.67
200,24805,24388,-417,-1.68
208,25744,25308,-436,-1.69
216,26683,26228,-455,-1.71
224,27622,27148,-474,-1.72
232,28561,28068,-493,-1.73
240,29500,29400,-100,-0.34
248,31793,31900,107,0.34
